species_common_name,taxon_class,overall_sample_size,overall_mle,overall_ci_lower,overall_ci_upper,male_sample_size,male_mle,male_ci_lower,male_ci_upper,female_sample_size,female_mle,female_ci_lower,female_ci_upper,male_data_deficient,female_data_deficient
Addax,"Mammalia,Addax nasomaculatus",1215,13.4,12.4,14.5,558.0,12.3,10.5,14.7,656.0,14.4,13.0,15.1,,
"Agouti, Brazilian","Mammalia,Dasyprocta leporina",456,8.1,7.2,9.3,216.0,8.8,6.9,10.3,220.0,7.8,6.8,8.6,,
"Alligator, Chinese","Reptilia,Alligator sinensis",351,30.9,25.9,34.3,151.0,25.9,23.9,52.1,176.0,32.8,25.9,46.0,yes,yes
"Anoa, Lowland","Mammalia,Bubalus depressicornis",256,17.7,15.3,21.2,113.0,16.3,14.7,21.3,139.0,18.8,15.2,21.5,yes,yes
"Anteater, Giant","Mammalia,Myrmecophaga tridactyla",177,19.7,17.1,21.5,86.0,19.4,17.1,21.5,90.0,19.7,16.2,22.0,yes,yes
"Antelope, Roan","Mammalia,Hippotragus equinus",456,12.5,11.5,13.2,210.0,12.7,10.6,16.5,245.0,12.4,10.8,13.1,yes,
"Antelope, Sable","Mammalia,Hippotragus niger",1398,11.3,10.5,11.9,602.0,10.6,9.8,12.0,795.0,11.6,10.5,12.2,,
"Aracari, Green","Aves,Pteroglossus viridis",358,7.9,6.3,9.3,174.0,8.5,6.1,10.9,175.0,7.6,6.2,8.9,,
"Argus, Great","Aves,Argusianus argusï¿½",310,10.8,9.4,12.5,138.0,10.6,8.3,12.9,160.0,11.1,9.3,14.1,,
"Armadillo, Southern Three-banded","Mammalia,Tolypeutes matacas",233,17.6,15.0,18.8,109.0,16.4,12.6,18.1,124.0,18.7,15.2,21.7,yes,
"Baboon, Hamadryas","Mammalia,Papio hamadryas",134,27.3,25.2,29.8,57.0,27.2,22.3,29.3,77.0,27.5,24.9,31.0,yes,yes
Barasingha,"Mammalia,Rucervus duvaucelii",568,11.9,10.8,12.9,228.0,9.0,7.5,10.3,326.0,13.1,12.6,13.9,,
"Barbet, Red and Yellow","Aves,Trachyphonus erythrocephalus",134,4.6,3.3,5.6,76.0,4.6,3.6,6.1,58.0,3.8,2.7,5.9,,
"Bat, Rodrigues Fruit","Mammalia,Pteropus rodricensis",425,14.4,13.3,15.4,235.0,13.6,12.6,14.3,188.0,16.6,15.1,17.7,,
"Bat, Straw-Colored Fruit","Mammalia,Eidolon helvum",960,19.0,18.3,20.5,490.0,18.2,17.7,20.1,463.0,20.0,18.4,28.0,,
"Bear, Andean Spectacled","Mammalia,Tremarctos ornatus",143,26.1,23.8,27.7,79.0,26.4,24.7,27.7,64.0,25.7,21.5,29.2,,
"Bear, Asiatic Black","Mammalia,Ursus thibetanus",184,25.0,22.4,27.0,82.0,22.9,20.0,24.3,102.0,29.4,22.8,31.2,yes,
"Bear, Brown ","Mammalia,Ursus arctos",388,24.3,21.8,26.5,193.0,21.9,20.6,24.2,193.0,26.8,24.1,27.9,,
"Bear, Polar","Mammalia,Ursus maritimus",540,22.7,21.5,23.7,251.0,20.8,18.4,22.4,288.0,24.3,22.7,25.6,,
"Bear, Sloth","Mammalia,Melursus ursinus",137,17.8,14.0,19.3,66.0,15.8,13.6,18.5,70.0,19.5,13.4,20.4,,
"Bear, Sun","Mammalia,Helarctos malayanus",187,22.6,19.9,24.0,66.0,21.0,17.5,23.4,121.0,23.1,19.8,26.2,yes,
"Bettong, Brush-tailed","Mammalia,Bettongia penicillata",358,8.2,7.6,9.6,172.0,8.3,7.5,9.6,181.0,8.0,6.8,9.9,,
Binturong,"Mammalia,Arctictis binturong",400,16.4,14.8,17.5,210.0,17.9,16.4,19.5,180.0,14.8,13.5,16.5,,
"Bird-of-paradise, Raggiana","Aves,Paradisaea raggiana",106,14.5,11.7,18.3,54.0,12.6,9.3,18.3,52.0,16.5,11.7,21.0,yes,yes
"Bluebird, Fairy","Aves,Irena puella",436,5.0,4.3,5.7,219.0,4.9,3.9,6.2,214.0,5.0,4.2,5.8,,
"Boa, Jamaican","Reptilia,Chilabothrus subflavus",206,17.4,15.7,19.0,93.0,21.3,16.6,24.8,78.0,15.0,11.8,17.4,,
Bobcat,"Mammalia,Lynx rufus",750,17.8,16.8,18.6,378.0,16.8,15.1,17.8,366.0,18.8,17.3,19.7,,
"Bongo, Eastern","Mammalia,Tragelaphus eurycerus isaaci",1232,11.2,10.3,11.9,523.0,9.2,8.4,9.8,659.0,13.3,12.4,14.0,,
Bonobo,"Mammalia,Pan paniscus",297,35.6,31.8,37.8,134.0,31.5,25.6,35.7,163.0,43.2,33.4,,,yes
Bontebok,"Mammalia,Damaliscus pygargus pygarus",301,11.2,10.4,11.8,134.0,10.9,9.7,11.6,159.0,11.6,9.9,12.4,,
"Buffalo, African Savannah","Mammalia,Syncerus caffer",285,18.8,16.8,22.0,138.0,17.3,15.4,22.0,147.0,20.2,17.1,22.8,yes,yes
"Bushbaby, Moholi","Mammalia,Galago moholi",700,5.9,5.4,6.2,356.0,5.7,5.2,6.5,323.0,6.0,5.4,6.4,,
"Bushmaster, South American","Reptilia,Lachesis muta",233,7.8,6.4,9.1,109.0,8.9,6.4,11.8,106.0,6.9,5.3,9.1,,
"Bustard, Buff-crested","Aves,Lophotis gindiana",115,6.9,5.2,9.6,55.0,8.4,3.2,10.8,57.0,6.0,4.5,10.5,,
"Buttonquail, Madagascar","Aves,Turnix nigricollis",78,3.2,2.9,4.7,35.0,3.3,2.9,5.2,41.0,3.2,2.7,4.2,yes,
Callimico,"Mammalia,Callimico goeldii",565,8.9,8.3,9.6,299.0,8.5,8.0,9.3,266.0,9.6,8.4,10.6,,
"Camel, Bactrian ","Mammalia,Camelus bactrianus",511,17.8,16.6,18.5,218.0,16.9,15.7,18.6,293.0,17.8,16.8,19.0,,
Capybara,"Mammalia,Hydrochaeris hydrochaeris",819,7.8,7.3,8.3,332.0,7.1,6.6,7.6,413.0,8.6,7.9,9.3,,
Caracal,"Mammalia,Caracal caracal",465,12.7,12.2,13.6,219.0,12.5,11.7,13.7,243.0,12.9,11.4,14.3,,
"Cardinal, Red-capped","Aves,Paroaria gularis",218,5.7,5.0,6.4,99.0,5.7,4.3,7.9,106.0,5.8,5.0,7.3,,
"Cardinal, Red-crested","Aves,Paroaria coronata",422,4.1,3.6,4.8,157.0,4.2,3.5,5.0,164.0,3.9,3.3,5.2,,
"Cassowary, Southern (Double-wattled)","Aves,Casuarius casuarius",122,26.2,18.4,30.6,53.0,30.5,16.6,32.0,53.0,18.4,12.2,28.2,yes,yes
"Cat, Black-footed","Mammalia,Felis nigripes",160,5.3,4.7,6.8,76.0,5.8,4.3,8.4,84.0,5.1,4.0,6.3,,
"Cat, Fishing","Mammalia,Prionailurus viverrinus",256,11.5,11.1,12.2,112.0,10.9,10.0,11.4,144.0,12.8,11.4,13.1,,
"Cat, Pallas'","Mammalia,Felis manul",199,8.5,7.5,9.2,98.0,7.9,6.7,9.4,101.0,8.7,6.7,9.4,,
"Cat, Sand","Mammalia,Felis margarita",164,9.9,7.8,10.6,85.0,9.9,7.2,10.6,79.0,9.3,6.9,11.7,,
"Chat, Snowy-Headed Robin","Aves,Cossypha niveicapilla",239,4.0,3.3,5.0,103.0,4.8,3.4,6.2,110.0,3.8,2.8,5.0,,
Cheetah,"Mammalia,Acinonyx jubatus",980,11.6,11.1,12.0,501.0,11.4,10.8,12.0,479.0,11.9,11.3,12.3,,
"Chevrotain, Greater Malayan","Mammalia,Tragulus napu",322,7.1,6.3,7.9,148.0,6.3,5.0,7.9,173.0,7.4,6.6,8.7,,
Chimpanzee,"Mammalia,Pan troglodytes",685,36.3,32.7,39.4,299.0,31.6,26.6,35.4,386.0,40.0,35.7,45.6,,
"Coati, White-Nosed","Mammalia,Nasua narica",524,13.3,12.4,13.9,231.0,12.3,11.7,13.5,275.0,14.1,12.7,14.9,,
"Colobus, Angolan","Mammalia,Colobus angolensis",184,18.2,15.2,20.9,78.0,20.6,13.9,,106.0,17.6,14.7,23.2,yes,yes
"Colobus, Guereza","Mammalia,Colobus guereza",1071,12.5,11.6,13.9,483.0,15.0,13.3,16.1,586.0,11.4,10.2,12.5,,
"Condor, Andean","Aves,Vultur gryphus",264,47.0,38.0,52.9,132.0,51.3,41.3,54.7,132.0,38.8,35.5,52.9,yes,yes
"Conure, Golden","Aves,Guarouba guarouba",313,17.0,14.1,19.7,142.0,17.1,13.8,22.2,152.0,17.0,12.3,20.1,,
"Crake, Black","Aves,Zapornia flavirostra",370,3.7,3.4,4.2,128.0,4.1,3.4,4.5,134.0,3.6,3.1,3.9,,
"Crane, Black-crowned","Aves,Balearica pavonina",444,12.6,11.1,14.0,176.0,12.6,10.7,14.9,201.0,12.9,10.3,15.1,,
"Crane, Blue","Aves,Anthropoides paradisea",291,13.6,10.8,15.9,123.0,11.4,9.2,16.5,143.0,14.7,10.7,20.6,,
"Crane, Demoiselle","Aves,Anthropoides virgo",372,14.0,11.4,16.0,173.0,14.1,9.9,16.9,158.0,13.4,9.8,16.5,,
"Crane, Grey-crowned","Aves,Balearica regulorum",813,12.5,11.1,14.2,336.0,13.7,10.9,15.4,360.0,12.2,10.0,14.8,,
"Crane, Hooded","Aves,Grus monacha",121,14.0,10.2,16.7,52.0,16.9,6.7,21.2,69.0,11.8,7.9,15.4,,
"Crane, Red-crowned","Aves,Grus japonensis",168,29.3,21.3,32.4,83.0,24.5,16.0,,85.0,29.9,22.8,36.4,yes,yes
"Crane, White-naped","Aves,Grus vipio",260,15.1,13.0,19.6,124.0,20.5,14.4,24.0,130.0,12.9,10.3,16.3,,
"Crane, Whooping","Aves,Grus americana",266,28.4,23.2,33.6,125.0,31.8,23.2,34.3,140.0,27.4,16.4,,yes,yes
"Curassow, Helmeted","Aves,Pauxi pauxi",123,16.6,12.2,19.4,61.0,15.4,9.1,18.9,58.0,18.5,11.9,21.6,yes,yes
"Curassow, Wattled","Aves,Crax globulosa",141,12.7,11.4,17.0,62.0,16.6,10.8,19.7,74.0,11.8,8.1,15.3,yes,
"Deer, Eld's","Mammalia,Rucervus eldii thamin",449,11.6,10.3,12.1,196.0,9.5,7.7,11.7,253.0,12.5,11.4,14.0,,
"Deer, Mexican Red Brocket","Mammalia,Mazama temama",260,5.3,4.6,5.7,131.0,4.9,4.1,5.7,129.0,5.6,4.7,6.3,,
"Deer, Pï¿½re Davidï¿½s","Mammalia,Elaphurus davidianus",388,15.3,14.0,16.1,176.0,13.2,11.2,14.4,210.0,16.3,15.5,17.3,,
"Deer, Western Tufted","Mammalia,Elaphodus cehalophus",181,12.1,9.2,14.4,92.0,14.4,11.1,18.5,85.0,10.0,7.6,12.4,,
"Dik-dik, Kirk's","Mammalia,Madoqua kirkii",446,4.6,4.2,5.1,212.0,4.3,3.8,5.1,234.0,5.0,4.3,5.8,,
"Dikkop, Spotted","Aves,Burhinus capensis",109,16.5,11.3,19.7,46.0,16.7,8.2,,60.0,15.0,11.2,20.7,yes,yes
"Dog, African Painted","Mammalia,Lycaon pictus",375,10.3,9.7,10.8,210.0,10.7,9.8,11.3,164.0,9.9,9.1,10.7,,
"Dog, Bush","Mammalia,Speothos venaticus",563,8.0,7.6,8.5,284.0,8.9,7.8,9.4,279.0,7.3,6.8,8.2,,
"Dove, Bartlett's Bleeding Heart","Aves,Gallicolumba criniger",145,5.0,4.1,5.5,72.0,4.7,3.9,5.5,72.0,5.3,3.6,6.6,,
"Dove, Beautiful Fruit","Aves,Ptilinopus pulchellus",224,7.1,6.0,9.2,121.0,7.6,6.1,10.5,100.0,6.9,4.9,8.4,,
"Dove, Black-naped Fruit","Aves,Ptilinopus melanospilus",330,6.5,5.2,7.3,178.0,6.1,4.5,7.3,150.0,7.0,5.2,8.8,,
"Dove, Grey-capped Emerald","Aves,Chalcophaps indica",723,6.2,5.5,6.8,345.0,7.0,5.6,7.6,303.0,5.5,4.5,6.3,,
"Dove, Jambu Fruit","Aves,Ptilinopus jambu",332,5.8,4.9,6.3,167.0,6.3,5.2,7.9,163.0,5.3,4.4,6.2,,
"Dove, Luzon Bleeding Heart","Aves,Gallicolumba luzonica",538,5.9,5.0,6.5,246.0,5.8,4.3,7.0,229.0,6.0,5.0,6.5,,
"Dove, Mariana Fruit","Aves,Ptilinopus roseicapilla",159,8.5,6.4,11.3,83.0,11.9,9.6,14.9,76.0,6.0,4.1,7.6,yes,
"Dragon, Komodo","Reptilia,Varanus komodoensis",223,16.6,15.2,18.5,108.0,19.5,18.3,21.1,112.0,12.3,11.3,15.3,yes,
"Duck, Spotted Whistling","Aves,Dendrocygna guttata",101,6.2,5.4,7.1,50.0,6.4,5.7,9.8,50.0,5.5,3.8,7.1,yes,yes
"Duck, West Indian Whistling","Aves,Dendrocygna arborea",384,8.9,7.9,9.6,151.0,9.6,7.8,11.0,163.0,8.5,7.5,9.6,,
"Duck, White-winged Wood","Aves,Asarcornis scutulata",535,5.7,5.1,6.0,,,,,,,,,yes,yes
"Duiker, Black","Mammalia,Cephalopus niger",79,5.9,3.4,7.6,39.0,4.3,2.6,11.0,40.0,6.6,3.2,7.9,yes,yes
"Duiker, Blue","Mammalia,Philantomba monticola",391,4.7,4.2,5.1,191.0,4.7,4.2,5.1,200.0,4.8,3.8,5.4,,
"Duiker, Yellow-backed","Mammalia,Cephalophus silvicultor",275,10.1,9.0,11.3,140.0,9.3,8.1,12.4,134.0,10.7,9.2,11.5,,
"Eagle, Bald","Aves,Haliaeetus leucoephalus",829,16.6,13.2,19.3,297.0,15.2,12.4,20.3,338.0,17.6,13.1,23.2,,
"Eland, Common","Mammalia,Taurotragus oryx",1456,12.9,12.5,13.5,597.0,11.8,11.2,12.5,837.0,13.6,13.0,14.1,,
"Elephant, African","Mammalia,Loxodonta africana",489,36.3,32.2,38.7,108.0,24.1,20.0,30.1,381.0,38.0,35.6,40.9,,
"Elephant, Asian","Mammalia,Elephas maximus",636,42.0,37.5,45.7,110.0,32.0,21.0,40.1,526.0,43.3,40.4,47.1,,
"Falcon, African Pygmy","Aves,Polihierax semitorquatus",158,7.0,5.1,8.1,78.0,7.9,5.1,11.9,79.0,5.4,3.9,7.6,,
"Flamingo, Caribbean","Aves,Phoenicopterus ruber",3168,25.7,24.8,26.9,1425.0,26.2,24.9,28.1,1335.0,25.3,23.7,26.5,,
"Flamingo, Chilean","Aves,Phoenicopterus chilensis",3406,27.8,26.3,29.6,1299.0,30.0,27.4,32.8,1330.0,26.6,24.4,28.3,,
"Flamingo, Greater","Aves,Phoenicopterus ruber roseus",799,34.9,33.9,37.1,355.0,37.0,36.8,,409.0,34.2,30.8,37.1,yes,
"Flamingo, Lesser","Aves,Phoeniconaias minor",1249,16.3,14.9,18.4,676.0,19.9,16.3,23.8,312.0,12.5,10.5,15.0,,
"Flying Fox, Island","Mammalia,Pteropus hypomelanus",146,22.6,20.2,24.7,62.0,18.6,12.1,12.1,84.0,25.4,23.3,,yes,yes
"Flying Fox, Large","Mammalia,Pteropus vampyrus",217,17.1,15.7,18.1,102.0,17.0,16.2,18.1,114.0,17.1,14.9,19.9,yes,yes
