animal_id,name,datetime,monthyear,date_of_birth,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color
A771830,*Bradley,2018-12-27T13:25:00,2018-12-27T13:25:00,2017-05-10,Adoption,Foster,NeutredeMale Dog,Neupered Mao,1 year,Pit Bull Mix,White/Blue
A779576,*Rajah,2018-10-01T17:03:00,2018-10-01T17:03:00,2018-04-18,Adoption,,Neutered Male Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby
A741715,*Pebbles,2017-01-11T18:17:00,2017-01-11T18:17:00,2016-03-07,Adoption,,Spiyed Femvle Ca,Spuye Female,10 months,Domestic Shorthair Mix,Calico
A658751,Benji,2016-11-13T13:38:00,2016-11-13T13:38:00,2011-07-14,Return to Owner,,Neutered Male Dog,Neutered Male,5 years,Border Terrier Mix,Tan
A721285,,2016-02-24T14:42:00,2016-02-24T14:42:00,2014-02-24,Euthanasia,Suffering,Other,Ucnmwn,2 years,Raccoon Mix,Black/Gray
A746650,Rose,2017-04-07T11:58:00,2017-04-07T11:58:00,2016-04-06,Return to Owner,,Intact Female Dog,Intact Female,1 year,Labrador Retriever/Jack Russell Terrier,Yellow
A750122,Happy Camper,2017-05-24T18:36:00,2017-05-24T18:36:00,2017-04-08,Transfer,Partner,qntactrMale Do,ntact Male,1 month,Labrador Retriever Mix,Black
A756696,Shakti,2017-09-01T11:23:00,2017-09-01T11:23:00,2014-08-24,Return to Owner,,Spayed Female Cat,Spayed Female,3 years,Domestic Shorthair Mix,Blue/White
A784168,,2018-11-14T12:33:00,2018-11-14T12:33:00,2018-03-12,Transfer,Partner,Inlct Male Dzg,Iotacj Mae,8 months,English Springer Spaniel Mix,Black/White
A707443,,2015-07-13T13:50:00,2015-07-13T13:50:00,2015-06-21,Transfer,Partner,Intact Female Cat,Intact Female,3 weeks,Domestic Longhair Mix,Black Smoke
A666430,Lucy,2013-11-07T11:47:00,2013-11-07T11:47:00,2012-11-06,Transfer,Partner,fayed Femaze Dog,lpayed gemae,1 year,Beagle Mix,White/Brown
A675708,*Johnny,2014-06-03T14:20:00,2014-06-03T14:20:00,2013-03-31,Adoption,,Neutered Male Dog,Neutered Male,1 year,Pit Bull,Blue/White
A680386,Monday,2014-06-15T15:50:00,2014-06-15T15:50:00,2005-06-02,Transfer,Partner,Neuterqd MaleDog,NutepedwMale,9 years,Miniature Schnauzer Mix,White
A684346,,2014-07-22T16:04:00,2014-07-22T16:04:00,2014-07-07,Transfer,Partner,Intact Male Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
A754895,Miso,2017-07-30T12:03:00,2017-07-30T12:03:00,2017-06-07,Adoption,,IntactyMale Ct,sjtat Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A683115,,2014-07-07T14:04:00,2014-07-07T14:04:00,2014-01-07,Euthanasia,Rabies Risk,Other,Unknown,5 months,Bat Mix,Brown
A664462,*Edgar,2013-10-07T13:06:00,2013-10-07T13:06:00,2013-06-03,Transfer,Partner,ntacv Made Dog,intft Male,4 months,Leonberger Mix,Brown/White
A785671,Toots,2018-12-07T17:36:00,2018-12-07T17:36:00,2015-12-07,Return to Owner,,Intact Female Cat,Intact Female,3 years,Domestic Shorthair Mix,Blue Tabby
A762837,,2017-12-02T16:24:00,2017-12-02T16:24:00,2016-11-28,Transfer,Partner,Neudred Mall Dog,Neuteed bkle,1 year,Australian Shepherd/Nova Scotia Duck Tolling Retriever,Chocolate/White
A713785,,2015-10-19T14:55:00,2015-10-19T14:55:00,2015-05-29,Transfer,Partner,Neutered Male Dog,Neutered Male,4 months,Labrador Retriever Mix,Red
A741783,,2017-01-12T17:02:00,2017-01-12T17:02:00,2016-11-18,Adoption,,payed aemale log,SpayedrFeare,1 month,Labrador Retriever Mix,Tan/White
A764447,,2018-01-18T16:59:00,2018-01-18T16:59:00,2017-10-30,Adoption,,Spayed Female Dog,Spayed Female,2 months,Pit Bull Mix,Brown/White
A697000,Boone,2015-02-16T13:24:00,2015-02-16T13:24:00,2009-02-16,Return to Owner,,NeetehedMale Dog,Neutered wae,6 years,English Springer Spaniel Mix,Liver/White
A777321,Lucky Charm,2018-08-23T19:00:00,2018-08-23T19:00:00,2018-06-12,Adoption,,Neutered Male Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A697055,Megatron,2015-02-17T15:06:00,2015-02-17T15:06:00,2012-02-17,Adoption,,Spaymd Fenale Do,Spayet semle,3 years,Dachshund/Chihuahua Shorthair,Red
A646449,Ruby,2015-07-23T18:31:00,2015-07-23T18:31:00,2012-01-23,Return to Owner,,Spayed Female Dog,Spayed Female,3 years,Catahoula/Labrador Retriever,Brown Brindle
A720750,Rooster  D 4,2016-03-09T10:57:00,2016-03-09T10:57:00,2015-02-14,Disposal,,Itsct Malk Bird,Insca Male,1 year,Chicken Mix,White
A724228,,2016-05-28T16:40:00,2016-05-28T16:40:00,2016-03-07,Adoption,Foster,Spayed Female Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby
A781882,,2018-10-08T00:00:00,2018-10-08T00:00:00,2013-10-07,Died,At Vet,Intact emtqe Cat,Iazact Femle,5 years,Domestic Shorthair Mix,Black/White
A708122,,2015-07-27T14:21:00,2015-07-27T14:21:00,2005-07-23,Transfer,Partner,Neutered Male Dog,Neutered Male,10 years,Pug,Fawn/Black
A755543,,2017-08-04T16:16:00,2017-08-04T16:16:00,2015-08-04,Euthanasia,Suffering,Bird,Unkpwp,2 years,Dove Mix,Gray
A736675,,2016-10-15T13:36:00,2016-10-15T13:36:00,2016-04-15,Euthanasia,Suffering,Bird,Unknown,6 months,Chicken Mix,Black/White
A740957,Gio,2016-12-27T10:40:00,2016-12-27T10:40:00,2015-12-26,Return to Owner,,InacthMalekDog,Intacw Mae,1 year,Chihuahua Shorthair Mix,Red/Tan
A634994,Jolie,2017-04-30T15:50:00,2017-04-30T15:50:00,2004-04-30,Return to Owner,,Spayed Female Cat,Spayed Female,13 years,Domestic Shorthair Mix,Brown Tabby/White
A710320,Yoshi,2015-09-01T16:36:00,2015-09-01T16:36:00,2010-01-21,Return to Owner,,Spayei FemleuDog,Spaye terale,5 years,Pit Bull Mix,Blue/White
A770414,Church,2018-04-25T18:16:00,2018-04-25T18:16:00,2017-06-19,Adoption,,Neutered Male Dog,Neutered Male,10 months,Plott Hound Mix,Brown Brindle
A693700,,2014-12-13T12:20:00,2014-12-13T12:20:00,2013-12-13,Euthanasia,Suffering,Other,Unkvwp,1 year,Squirrel Mix,Tan
A698683,Toby,2015-03-21T11:45:00,2015-03-21T11:45:00,2011-03-16,Return to Owner,,Neutered Male Dog,Neutered Male,4 years,Chihuahua Longhair Mix,Cream
A773192,*Huncho,2018-07-18T17:04:00,2018-07-18T17:04:00,2017-05-29,Adoption,,apafed Fmale Cat,Spaed Fzmane,1 year,Domestic Shorthair Mix,White/Brown Tabby
A770719,*Calvin,2018-05-03T11:25:00,2018-05-03T11:25:00,2016-04-24,Adoption,,Neutered Male Dog,Neutered Male,2 years,Border Terrier Mix,Tan/White
A692618,*Ella,2014-12-08T15:55:00,2014-12-08T15:55:00,2011-11-23,Transfer,Partner,Spage Female Doi,Spahed Fmale,3 years,Chihuahua Shorthair Mix,Brown
A695532,Charlie,2015-01-17T17:22:00,2015-01-17T17:22:00,2013-01-17,Return to Owner,,Neutered Male Dog,Neutered Male,2 years,Treeing Walker Coonhound Mix,White/Brown
A735677,,2016-09-28T13:49:00,2016-09-28T13:49:00,2016-09-06,Transfer,Partner,Intct Mtre Cat,ntact pale,3 weeks,Domestic Shorthair Mix,Brown Tabby
A757005,*Sandi,2017-10-07T13:15:00,2017-10-07T13:15:00,2017-07-28,Adoption,Foster,Spayed Female Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie/White
A754474, ,2017-07-31T16:34:00,2017-07-31T16:34:00,2015-07-21,Adoption,,Bird,ncnown,2 years,Muscovy,Tricolor
A774050,,2018-06-12T13:27:00,2018-06-12T13:27:00,2015-06-09,Transfer,Partner,Intact Female Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Black/White
A700969,,2015-04-22T08:39:00,2015-04-22T08:39:00,2014-10-21,Euthanasia,Rabies Risk,Other,rnkbon,6 months,Bat,Brown
A762782,*Bun Jovi,2017-12-20T17:22:00,2017-12-20T17:22:00,2016-11-27,Adoption,,Neutered Male Other,Neutered Male,1 year,Californian,White
A675405,Stella Luna,2014-03-28T14:55:00,2014-03-28T14:55:00,2013-03-27,Return to Owner,,Spayem FemlevCat,SpayedeFemll,1 year,Domestic Medium Hair Mix,Black/White
A783965,*Arnie,2018-11-13T17:08:00,2018-11-13T17:08:00,2015-11-09,Transfer,Partner,Neutered Male Dog,Neutered Male,3 years,Norfolk Terrier Mix,Tan
A764737,*James,2018-01-22T07:55:00,2018-01-22T07:55:00,2017-08-05,Transfer,Partner,hgutered ale Cat,eutered nole,5 months,Domestic Shorthair Mix,Blue Tabby
A720498,*Valentino,2016-02-16T00:00:00,2016-02-16T00:00:00,2014-02-10,Transfer,Partner,Neutered Male Dog,Neutered Male,2 years,Pug/Border Terrier,Black/Tan
A685067,Lucy,2014-08-14T18:45:00,2014-08-14T18:45:00,2014-06-16,Adoption,,Inact FemaledCat,ntact Femaoe,1 month,Domestic Shorthair Mix,Blue Tabby/White
A673652,Fancy,2014-03-28T14:39:00,2014-03-28T14:39:00,2012-02-28,Transfer,Partner,Neutered Male Dog,Neutered Male,2 years,Papillon/Border Collie,Black/White
A678580,*Frida,2014-06-29T17:45:00,2014-06-29T17:45:00,2014-03-26,Adoption,Offsite,fpayed Femle Cpt,Spand Femald,3 months,Domestic Shorthair Mix,White/Black
A753521,,2017-07-11T17:20:00,2017-07-11T17:20:00,2016-07-07,Adoption,,Spayed Female Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
A706392,*Ozzy,2015-11-24T11:58:00,2015-11-24T11:58:00,2015-05-28,Adoption,Foster,Netelew Male Cat,Neqtehd Male,5 months,Domestic Medium Hair Mix,Blue Tabby/White
A747615,Luna,2017-04-22T18:23:00,2017-04-22T18:23:00,2016-04-22,Return to Owner,,Intact Female Dog,Intact Female,1 year,Siberian Husky Mix,Black/White
A695221,Lucy,2015-01-19T12:08:00,2015-01-19T12:08:00,2004-01-19,Return to Owner,,Scayed Femag Cat,Spaied emdle,11 years,Domestic Shorthair Mix,Tortie
A752325,,2017-06-28T14:32:00,2017-06-28T14:32:00,2017-06-21,Transfer,Partner,Intact Female Cat,Intact Female,1 week,Domestic Shorthair Mix,Blue
A700449,Nala,2015-04-14T11:27:00,2015-04-14T11:27:00,2010-04-14,Return to Owner,,lpayedFemale Deg,Spayd Fnmale,5 years,Cocker Spaniel Mix,Black/White
A750155,,2017-05-28T15:57:00,2017-05-28T15:57:00,2017-03-23,Adoption,,Neutered Male Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A747266,Finnegan,2017-05-27T16:30:00,2017-05-27T16:30:00,2017-03-17,Adoption,,hntact Maee Ct,Intac Maly,2 months,Siamese Mix,Flame Point
A774676,,2018-07-14T14:27:00,2018-07-14T14:27:00,2018-04-25,Adoption,,Neutered Male Cat,Neutered Male,2 months,Domestic Shorthair Mix,Gray Tabby/White
A731736,Novah,2017-03-02T13:06:00,2017-03-02T13:06:00,2013-07-26,Transfer,Partner,Smaed Femaje Dog,Syayed Fmjle,3 years,Pit Bull Mix,White
A708831,,2015-11-11T14:04:00,2015-11-11T14:04:00,2015-07-30,Adoption,Foster,Spayed Female Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White
A745854,Preciosa,2017-04-04T17:07:00,2017-04-04T17:07:00,2016-06-25,Return to Owner,,Spayw Female Dog,Spayed emmlb,9 months,Chihuahua Shorthair Mix,Black/Tan
A698477,Spike,2015-03-20T18:11:00,2015-03-20T18:11:00,2013-03-12,Adoption,,Neutered Male Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/White
A705926,,2015-06-23T10:03:00,2015-06-23T10:03:00,2015-05-22,Euthanasia,Rabies Risk,Other,inknzw,4 weeks,Bat,Red
A677679,Kash,2014-05-26T19:10:00,2014-05-26T19:10:00,2014-03-07,Adoption,Foster,Neutered Male Dog,Neutered Male,2 months,Chihuahua Shorthair/Pomeranian,Black
A764464,Pepper,2018-09-18T14:28:00,2018-09-18T14:28:00,2017-10-15,Transfer,Partner,Spayed plmale Dg,SjayedFemale,11 months,Soft Coated Wheaten Terrier Mix,Black/Tricolor
A764464,Pepper,2018-09-18T14:28:00,2018-09-18T14:28:00,2017-10-15,Transfer,Partner,Spayed Female Dog,Spayed Female,11 months,Soft Coated Wheaten Terrier Mix,Black/Tricolor
A740514,,2016-12-22T15:32:00,2016-12-22T15:32:00,2014-12-18,Transfer,Partner,Nutehed Male Drg,Nebtered Mad,2 years,Norfolk Terrier Mix,Tan/Black
A640655,Sandy,2014-04-25T11:17:00,2014-04-25T11:17:00,2009-04-27,Return to Owner,,Spayed Female Dog,Spayed Female,4 years,Miniature Schnauzer/Miniature Poodle,White
A713715,Cheyenne,2015-11-07T14:20:00,2015-11-07T14:20:00,2006-10-11,Adoption,,Spayed eemyle og,Spayed Fvmgl,9 years,Dachshund Wirehair/Miniature Poodle,Blue/Tan
A714055,*Jorge Mcfly,2015-11-22T18:08:00,2015-11-22T18:08:00,2014-10-17,Adoption,,Neutered Male Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
A680396,*Truman,2014-06-15T15:11:00,2014-06-15T15:11:00,2012-06-02,Transfer,Partner,geutered aoe Dog,Neutered Mky,2 years,Rat Terrier Mix,White/Black
A714040,*Martie,2015-10-22T18:24:00,2015-10-22T18:24:00,2013-10-17,Transfer,Partner,Spayed Female Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tricolor
A674298,*Newt,2014-04-16T12:51:00,2014-04-16T12:51:00,2013-03-11,Transfer,Partner,NeuteredmMle Dog,Neuterwj Mle,1 year,Pit Bull Mix,Brown Brindle/White
A670420,,2014-01-09T19:29:00,2014-01-09T19:29:00,2013-12-16,Transfer,Partner,Intact Male Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White
A741095,*Sassy,2017-01-08T18:44:00,2017-01-08T18:44:00,2013-12-28,Adoption,,Spayeu Femle Dog,Spaykw Femae,3 years,Cairn Terrier Mix,White/Brown
A690350,Shy,2014-10-26T18:20:00,2014-10-26T18:20:00,2006-10-18,Return to Owner,,Neutered Male Dog,Neutered Male,8 years,Labrador Retriever Mix,Black
A744786,*Patrick,2017-03-12T19:27:00,2017-03-12T19:27:00,2007-03-07,Transfer,Partner,Neuterer Male lo,Neusered Maa,10 years,Pomeranian Mix,Brown/Black
A736968,*Gretchen,2017-04-18T15:26:00,2017-04-18T15:26:00,2015-10-20,Adoption,Foster,Spayed Female Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
A769859,*Theo,2018-04-20T16:07:00,2018-04-20T16:07:00,2011-04-11,Adoption,,Neutered Mns Dog,Neuteryv Mal,7 years,Swedish Vallhund Mix,Tan/Black
A704744,,2015-06-08T18:20:00,2015-06-08T18:20:00,2015-05-08,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Orange Tabby
A735529,Luna,2016-09-26T18:34:00,2016-09-26T18:34:00,2013-09-25,Return to Owner,,Spnyed emalezDog,Spayid emgle,3 years,Labrador Retriever Mix,Brown/White
A721371,Georgo,2016-08-27T18:32:00,2016-08-27T18:32:00,2012-02-25,Return to Owner,,Neutered Male Dog,Neutered Male,4 years,Labrador Retriever Mix,Chocolate/Tan
A762676,,2017-11-24T09:23:00,2017-11-24T09:23:00,2016-11-23,Euthanasia,Rabies Risk,Other,kknowt,1 year,Bat,Black
A694884,Bessie,2015-02-03T12:59:00,2015-02-03T12:59:00,2013-07-06,Adoption,Foster,Spayed Female Dog,Spayed Female,1 year,Australian Cattle Dog Mix,White/Brown
A771592,*Fern,2018-06-15T11:37:00,2018-06-15T11:37:00,2018-03-31,Adoption,Foster,Spaynd Femmle at,SpayfsFemale,2 months,Domestic Shorthair Mix,Blue Tabby/White
A748002,*Merlin,2017-08-17T15:51:00,2017-08-17T15:51:00,2015-04-27,Adoption,,Neutered Male Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A722553,,2016-03-22T15:58:00,2016-03-22T15:58:00,2016-03-01,Transfer,Partner,Intacs MlelDog,Intaj Malp,3 weeks,Labrador Retriever/Pit Bull,Black/White
A424158,Chucho,2017-05-10T17:03:00,2017-05-10T17:03:00,2005-03-28,Return to Owner,,Neutered Male Dog,Neutered Male,12 years,Chihuahua Shorthair Mix,Tan/White
A746964,,2017-04-11T18:59:00,2017-04-11T18:59:00,2017-03-11,Transfer,Partner,Cat,nknern,4 weeks,Domestic Shorthair Mix,Brown/Black
A781384,,2018-10-05T18:00:00,2018-10-05T18:00:00,2018-04-02,Adoption,,Spayed Female Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black/White
A701956,*Davis,2015-05-07T09:00:00,2015-05-07T09:00:00,2014-09-06,Transfer,SCRP,Spaked Femae Cad,lpayedaemale,7 months,Domestic Shorthair Mix,Brown Tabby
A742133,Smooches,2017-01-20T18:01:00,2017-01-20T18:01:00,2016-01-15,Return to Owner,,Neutered Male Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
A740708,,2016-12-26T14:43:00,2016-12-26T14:43:00,2016-04-21,Adoption,,IntactMaoe log,Iwtct Msle,8 months,German Shepherd/Great Pyrenees,Tan/White
