centroid_accession,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_isolate,gene_product,sequence_length_bp,ncbi_definition_line,cluster_count
KF600225.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,unknown,Bifidobacterium sp. G5_2_2BCO2,G5_2_2BCO2,16S ribosomal RNA,1146,"Bifidobacterium sp. G5_2_2BCO2 16S ribosomal RNA gene, partial sequence",1
KF600328.1,Bacteria,undetermined,Actinobacteria,undetermined,Unknown,Bifidobacteriaceae,unknown,Bifidobacterium sp. G7_4_4BCO2,G7_4_4BCO2,16S ribosomal RNA,1330,"Bifidobacterium sp. G7_4_4BCO2 16S ribosomal RNA gene, partial sequence",1
HM534832.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Unknown,Bifidobacteriaceae,unknown,Bifidobacterium sp. Tbbto10,Tbbto10,16S ribosomal RNA,1397,"Bifidobacterium sp. Tbbto10 16S ribosomal RNA gene, partial sequence",1
HM046575.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Unknown,Bifidobacteriaceae,unknown,uncultured Bifidobacterium sp.,Not Available,16S ribosomal RNA,1486,"Uncultured Bifidobacterium sp. clone ACW_P1 16S ribosomal RNA gene, partial sequence",4
KF600585.1,undetermined,undetermined,Actinobacteria,undetermined,Corynebacteriales,Unknown,Corynebacterium,Corynebacterium sp. 3477CO2,3477CO2,16S ribosomal RNA,1241,"Corynebacterium sp. 3477CO2 16S ribosomal RNA gene, partial sequence",2
HM008725.1,undetermined,undetermined,undetermined,Actinobacteria,Corynebacteriales,Unknown,Corynebacterium,uncultured Corynebacterium sp.,Not Available,16S ribosomal RNA,1477,"Uncultured Corynebacterium sp. clone AMW_E5 16S ribosomal RNA gene, partial sequence",1
KF600425.1,Bacteria,undetermined,Actinobacteria,undetermined,Corynebacteriales,Williamsiaceae,Williamsia,Williamsia sp. B3_4TCO2,B3_4TCO2,16S ribosomal RNA,1273,"Williamsia sp. B3_4TCO2 16S ribosomal RNA gene, partial sequence",1
KF600513.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Geodermatophilales,Unknown,unknown,Modestobacter sp. 3368O2,3368O2,16S ribosomal RNA,1247,"Modestobacter sp. 3368O2 16S ribosomal RNA gene, partial sequence",1
KF600143.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Unknown,Georgenia,Georgenia ferrireducens,M3_7_2TO2,16S ribosomal RNA,1075,"Georgenia ferrireducens strain M3_7_2TO2 16S ribosomal RNA gene, partial sequence",1
KJ638109.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Unknown,Nesterenkonia,Nesterenkonia sp. AMHSOQ209,AMHSOQ209,16S ribosomal RNA,1141,"Nesterenkonia sp. AMHSOQ209 16S ribosomal RNA gene, partial sequence",1
HM008724.1,undetermined,undetermined,Actinobacteria,Actinobacteria,Unknown,Micrococcaceae,unknown,uncultured Rothia sp.,Not Available,16S ribosomal RNA,1489,"Uncultured Rothia sp. clone AMW_E3 16S ribosomal RNA gene, partial sequence",1
KJ741207.1,Bacteria,undetermined,undetermined,undetermined,Unknown,Propionibacteriaceae,unknown,Propionibacterium sp. B4,B4,16S ribosomal RNA,1398,"Propionibacterium sp. B4 16S ribosomal RNA gene, partial sequence",1
KF600539.1,undetermined,undetermined,undetermined,Actinobacteria,Pseudonocardiales,Unknown,Goodfellowiella,Goodfellowiella coeruleoviolacea,3403O2,16S ribosomal RNA,1252,"Goodfellowiella coeruleoviolacea strain 3403O2 16S ribosomal RNA gene, partial sequence",3
KF600580.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Unknown,Streptomycetaceae,Streptomyces,Streptomyces atrovirens,3461CO2,16S ribosomal RNA,1251,"Streptomyces atrovirens strain 3461CO2 16S ribosomal RNA gene, partial sequence",1
NR_113155.1,Bacteria,undetermined,undetermined,Actinobacteria,Unknown,Unknown,unknown,Actinomadura rifamycini,JCM 3309,16S ribosomal RNA,1486,"Actinomadura rifamycini strain JCM 3309 16S ribosomal RNA gene, partial sequence",2
EF565935.1,Bacteria,undetermined,Bacteroidetes,Flavobacteriia,Unknown,Unknown,Chryseobacterium,Chryseobacterium sp. 549,549,16S ribosomal RNA,1417,"Chryseobacterium sp. 549 16S ribosomal RNA gene, partial sequence",1
KM975636.1,Bacteria,undetermined,undetermined,undetermined,Unknown,Flavobacteriaceae,Myroides,Myroides odoratimimus,H8,16S ribosomal RNA,1000,"Myroides odoratimimus strain H8 16S ribosomal RNA gene, partial sequence",1
KJ638081.1,Bacteria,undetermined,undetermined,Deinococci,Deinococcales,Unknown,unknown,Deinococcus sp. AMHQH187,AMHQH187,16S ribosomal RNA,1118,"Deinococcus sp. AMHQH187 16S ribosomal RNA gene, partial sequence",1
KF600569.1,Bacteria,undetermined,undetermined,Bacilli,Bacillales,Bacillaceae,unknown,Oceanobacillus oncorhynchi,3447CO2,16S ribosomal RNA,1287,"Oceanobacillus oncorhynchi strain 3447CO2 16S ribosomal RNA gene, partial sequence",1
HM046577.1,undetermined,undetermined,undetermined,undetermined,Bacillales,Bacillaceae,unknown,uncultured Bacillus sp.,Not Available,16S ribosomal RNA,1513,"Uncultured Bacillus sp. clone AMW_B7 16S ribosomal RNA gene, partial sequence",1
KF600307.1,undetermined,undetermined,Firmicutes,Bacilli,Unknown,Paenibacillaceae,unknown,Aneurinibacillus aneurinilyticus,G7_2_4BCO2,16S ribosomal RNA,1322,"Aneurinibacillus aneurinilyticus strain G7_2_4BCO2 16S ribosomal RNA gene, partial sequence",1
KP177514.1,Bacteria,undetermined,Firmicutes,undetermined,Unknown,Unknown,Brevibacillus,Brevibacillus borstelensis,RC,16S ribosomal RNA,1474,"Brevibacillus borstelensis strain RC 16S ribosomal RNA gene, partial sequence",2
DQ339637.1,undetermined,undetermined,undetermined,undetermined,Unknown,Paenibacillaceae,Brevibacillus,Brevibacillus brevis,BRL02-3A,16S ribosomal RNA,766,"Brevibacillus brevis isolate BRL02-3A 16S ribosomal RNA gene, partial sequence",1
DQ339656.1,Bacteria,undetermined,undetermined,undetermined,Unknown,Paenibacillaceae,unknown,Brevibacillus centrosporus,BRL02-24,16S ribosomal RNA,667,"Brevibacillus centrosporus isolate BRL02-24 16S ribosomal RNA gene, partial sequence",1
HM008723.1,Bacteria,undetermined,Firmicutes,Bacilli,Unknown,Unknown,Staphylococcus,uncultured Staphylococcus sp.,Not Available,16S ribosomal RNA,1512,"Uncultured Staphylococcus sp. clone AMW_C3 16S ribosomal RNA gene, partial sequence",3
KJ638100.1,undetermined,undetermined,Firmicutes,undetermined,Unknown,Unknown,Exiguobacterium,Exiguobacterium acetylicum,AMHSOQ138,16S ribosomal RNA,1215,"Exiguobacterium acetylicum strain AMHSOQ138 16S ribosomal RNA gene, partial sequence",1
KC692208.1,Bacteria,undetermined,undetermined,Bacilli,Lactobacillales,Unknown,unknown,Aerococcus viridans,ML607,16S ribosomal RNA,1487,"Aerococcus viridans strain ML607 16S ribosomal RNA gene, partial sequence",1
KC692183.1,Bacteria,undetermined,undetermined,Bacilli,Lactobacillales,Enterococcaceae,unknown,Enterococcus faecalis,ML240,16S ribosomal RNA,1501,"Enterococcus faecalis strain ML240 16S ribosomal RNA gene, partial sequence",20
KC692178.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,unknown,Enterococcus faecalis,ML580,16S ribosomal RNA,1500,"Enterococcus faecalis strain ML580 16S ribosomal RNA gene, partial sequence",4
KM975632.1,Bacteria,undetermined,Firmicutes,undetermined,Unknown,Unknown,unknown,Clostridium septicum,H4,16S ribosomal RNA,1013,"Clostridium septicum strain H4 16S ribosomal RNA gene, partial sequence",1
KF710030.1,undetermined,undetermined,undetermined,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas vesicularis,AMHSOL273,16S ribosomal RNA,1147,"Brevundimonas vesicularis strain AMHSOL273 16S ribosomal RNA gene, partial sequence",1
EU055544.1,Bacteria,undetermined,undetermined,Alphaproteobacteria,Rhizobiales,Bartonellaceae,unknown,Bartonella cf. apis*,Not Available,16S ribosomal RNA,1001,"Uncultured Bartonella sp. clone R1 16S ribosomal RNA gene, partial sequence",1
KJ638086.1,Bacteria,undetermined,Proteobacteria,undetermined,Unknown,Acetobacteraceae,Saccharibacter,Acetobacteraceae bacterium*,AMHQH241,16S ribosomal RNA,1102,"Saccharibacter floricola strain AMHQH241 16S ribosomal RNA gene, partial sequence",1
KF710023.1,Bacteria,undetermined,undetermined,undetermined,Sphingomonadales,Sphingomonadaceae,unknown,Sphingomonas sp. AMHSBL243,AMHSBL243,16S ribosomal RNA,1242,"Sphingomonas sp. AMHSBL243 16S ribosomal RNA gene, partial sequence",1
KF600133.1,Bacteria,undetermined,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,unknown,Cupriavidus sp.*,M3_3_3TCO2,16S ribosomal RNA,1065,"Cupriavidus respiraculi strain M3_3_3TCO2 16S ribosomal RNA gene, partial sequence",1
HM008717.1,Bacteria,undetermined,Proteobacteria,undetermined,Unknown,Unknown,Massilia,Massilia cf. aurea*,Not Available,16S ribosomal RNA,1498,"Uncultured Massilia sp. clone AML_D4 16S ribosomal RNA gene, partial sequence",1
KF600293.1,undetermined,undetermined,undetermined,undetermined,Neisseriales,Unknown,unknown,Snodgrassella alvi,G7_1_2TCO2,16S ribosomal RNA,1335,"Snodgrassella alvi strain G7_1_2TCO2 16S ribosomal RNA gene, partial sequence",1
NR_118404.1,undetermined,undetermined,undetermined,Betaproteobacteria,Unknown,Unknown,unknown,Snodgrassella alvi,wkB2,16S ribosomal RNA,1548,"Snodgrassella alvi strain wkB2 16S ribosomal RNA gene, complete sequence",19
HM008720.1,Bacteria,undetermined,Proteobacteria,Betaproteobacteria,Neisseriales,Unknown,Simonsiella,Snodgrassella cf. alvi*,Not Available,16S ribosomal RNA,1501,"Uncultured Simonsiella sp. clone AMP_C2 16S ribosomal RNA gene, partial sequence",1
JN969356.1,Bacteria,undetermined,Proteobacteria,undetermined,Enterobacteriales,Enterobacteriaceae,unknown,Klebsiella pneumoniae,ac3p1-1BHI,16S ribosomal RNA,1541,"Klebsiella pneumoniae strain ac3p1-1BHI 16S ribosomal RNA gene, partial sequence",1
JN969355.1,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Unknown,Klebsiella,Klebsiella pneumoniae,ac3p1-1TSA,16S ribosomal RNA,1561,"Klebsiella pneumoniae strain ac3p1-1TSA 16S ribosomal RNA gene, partial sequence",1
JN969357.1,undetermined,undetermined,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unknown,Klebsiella pneumoniae,ac3p2-1NA,16S ribosomal RNA,1508,"Klebsiella pneumoniae strain ac3p2-1NA 16S ribosomal RNA gene, partial sequence",1
JN969358.1,Bacteria,undetermined,Proteobacteria,undetermined,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,ac3p2-1TSA,16S ribosomal RNA,1502,"Klebsiella pneumoniae strain ac3p2-1TSA 16S ribosomal RNA gene, partial sequence",1
JN969359.1,undetermined,undetermined,undetermined,Gammaproteobacteria,Unknown,Enterobacteriaceae,unknown,Klebsiella pneumoniae,ac3p3-1TSA,16S ribosomal RNA,1492,"Klebsiella pneumoniae strain ac3p3-1TSA 16S ribosomal RNA gene, partial sequence",1
JN969360.1,Bacteria,undetermined,undetermined,undetermined,Enterobacteriales,Enterobacteriaceae,unknown,Klebsiella pneumoniae,ac3p4-1TSA,16S ribosomal RNA,1539,"Klebsiella pneumoniae strain ac3p4-1TSA 16S ribosomal RNA gene, partial sequence",2
JN969366.1,undetermined,undetermined,undetermined,undetermined,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,ac3w4-1TSA,16S ribosomal RNA,1544,"Klebsiella pneumoniae strain ac3w4-1TSA 16S ribosomal RNA gene, partial sequence",2
KC692177.1,undetermined,undetermined,undetermined,Gammaproteobacteria,Enterobacteriales,Unknown,Klebsiella,Klebsiella pneumoniae,ML574,16S ribosomal RNA,1478,"Klebsiella pneumoniae strain ML574 16S ribosomal RNA gene, partial sequence",1
KC692181.1,Bacteria,undetermined,undetermined,undetermined,Unknown,Enterobacteriaceae,unknown,Klebsiella pneumoniae,ML587,16S ribosomal RNA,1478,"Klebsiella pneumoniae strain ML587 16S ribosomal RNA gene, partial sequence",1
JN969311.1,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Unknown,unknown,Klebsiella sp.*,ac1l5-1,16S ribosomal RNA,1526,"Klebsiella pneumoniae strain ac1l5-1 16S ribosomal RNA gene, partial sequence",1
JN969318.1,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella sp.*,ac1p5-1TSA,16S ribosomal RNA,1475,"Klebsiella oxytoca strain ac1p5-1TSA 16S ribosomal RNA gene, partial sequence",1
JN969330.1,Bacteria,undetermined,undetermined,undetermined,Unknown,Unknown,Klebsiella,Klebsiella sp.*,ac2l1-1EMB,16S ribosomal RNA,1524,"Klebsiella oxytoca strain ac2l1-1EMB 16S ribosomal RNA gene, partial sequence",1
JN969345.1,undetermined,undetermined,undetermined,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unknown,Klebsiella sp.*,ac2w1-1TSA,16S ribosomal RNA,1530,"Klebsiella oxytoca strain ac2w1-1TSA 16S ribosomal RNA gene, partial sequence",1
JN969346.1,undetermined,undetermined,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unknown,Klebsiella sp.*,ac2w2-1EMB,16S ribosomal RNA,1531,"Klebsiella oxytoca strain ac2w2-1EMB 16S ribosomal RNA gene, partial sequence",1
JN969347.1,Bacteria,undetermined,undetermined,Gammaproteobacteria,Enterobacteriales,Unknown,Klebsiella,Klebsiella sp.*,ac2w2-1GB,16S ribosomal RNA,1517,"Klebsiella pneumoniae strain ac2w2-1GB 16S ribosomal RNA gene, partial sequence",1
JN969349.1,Bacteria,undetermined,undetermined,Gammaproteobacteria,Enterobacteriales,Unknown,unknown,Klebsiella sp.*,ac3l1-1TSA,16S ribosomal RNA,1517,"Klebsiella pneumoniae strain ac3l1-1TSA 16S ribosomal RNA gene, partial sequence",1
JN969350.1,Bacteria,undetermined,Proteobacteria,undetermined,Unknown,Enterobacteriaceae,unknown,Klebsiella sp.*,ac3l2-1EMB,16S ribosomal RNA,1461,"Klebsiella oxytoca strain ac3l2-1EMB 16S ribosomal RNA gene, partial sequence",2
JN969353.1,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Unknown,Unknown,unknown,Klebsiella sp.*,ac3l5-1EMB,16S ribosomal RNA,1512,"Klebsiella pneumoniae strain ac3l5-1EMB 16S ribosomal RNA gene, partial sequence",1
JN969361.1,undetermined,undetermined,undetermined,Gammaproteobacteria,Enterobacteriales,Unknown,unknown,Leclercia adecarboxylata,ac3p5-1BHI,16S ribosomal RNA,1583,"Leclercia adecarboxylata strain ac3p5-1BHI 16S ribosomal RNA gene, partial sequence",1
KF600171.1,Bacteria,undetermined,undetermined,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella,Morganella morganii,G3_4_3BO2,16S ribosomal RNA,1363,"Morganella morganii strain G3_4_3BO2 16S ribosomal RNA gene, partial sequence",9
JF461092.1,Bacteria,undetermined,Proteobacteria,undetermined,Enterobacteriales,Enterobacteriaceae,unknown,Serratia marcescens,BUME10,16S ribosomal RNA,1138,"Serratia marcescens strain BUME10 16S ribosomal RNA gene, partial sequence",1
JF461089.1,Bacteria,undetermined,Proteobacteria,undetermined,Enterobacteriales,Enterobacteriaceae,Serratia,Serratia marcescens,BUMP13,16S ribosomal RNA,1401,"Serratia marcescens strain BUMP13 16S ribosomal RNA gene, partial sequence",2
JF461093.1,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unknown,Serratia marcescens,BUMP4,16S ribosomal RNA,1129,"Serratia marcescens strain BUMP4 16S ribosomal RNA gene, partial sequence",1
KF600240.1,undetermined,undetermined,undetermined,Gammaproteobacteria,Enterobacteriales,Unknown,Serratia,Serratia marcescens,G5_4_1BCO2,16S ribosomal RNA,1319,"Serratia marcescens strain G5_4_1BCO2 16S ribosomal RNA gene, partial sequence",1
GQ855220.1,Bacteria,undetermined,Proteobacteria,undetermined,Unknown,Unknown,unknown,Serratia marcescens,GEI,16S ribosomal RNA,1414,"Serratia marcescens strain GEI 16S ribosomal RNA gene, partial sequence",3
KF600207.1,undetermined,undetermined,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Serratia nematodiphila,G5_1_2BCO2,16S ribosomal RNA,1305,"Serratia nematodiphila strain G5_1_2BCO2 16S ribosomal RNA gene, partial sequence",3
KF600208.1,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Unknown,Enterobacteriaceae,unknown,Serratia nematodiphila,G5_1_2CCO2,16S ribosomal RNA,1275,"Serratia nematodiphila strain G5_1_2CCO2 16S ribosomal RNA gene, partial sequence",1
KF600212.1,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Serratia nematodiphila,G5_1_3CCO2,16S ribosomal RNA,1274,"Serratia nematodiphila strain G5_1_3CCO2 16S ribosomal RNA gene, partial sequence",1
KF600214.1,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Unknown,Serratia,Serratia nematodiphila,G5_1_3TCO2,16S ribosomal RNA,1273,"Serratia nematodiphila strain G5_1_3TCO2 16S ribosomal RNA gene, partial sequence",1
KF600215.1,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Unknown,unknown,Serratia nematodiphila,G5_1_4BCO2,16S ribosomal RNA,1273,"Serratia nematodiphila strain G5_1_4BCO2 16S ribosomal RNA gene, partial sequence",2
KF600251.1,Bacteria,undetermined,undetermined,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unknown,Serratia nematodiphila,G5_4_4CCO2,16S ribosomal RNA,1273,"Serratia nematodiphila strain G5_4_4CCO2 16S ribosomal RNA gene, partial sequence",1
KF600253.1,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Unknown,Unknown,Serratia,Serratia nematodiphila,G5_4_5CCO2,16S ribosomal RNA,1278,"Serratia nematodiphila strain G5_4_5CCO2 16S ribosomal RNA gene, partial sequence",1
KF600186.1,undetermined,undetermined,undetermined,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unknown,Serratia sp. G3_7_2TCO2,G3_7_2TCO2,16S ribosomal RNA,1254,"Serratia sp. G3_7_2TCO2 16S ribosomal RNA gene, partial sequence",1
KF600203.1,undetermined,undetermined,Proteobacteria,Gammaproteobacteria,Unknown,Enterobacteriaceae,unknown,Serratia sp. G5_1_1BCO2,G5_1_1BCO2,16S ribosomal RNA,1273,"Serratia sp. G5_1_1BCO2 16S ribosomal RNA gene, partial sequence",1
KF600211.1,Bacteria,undetermined,Proteobacteria,undetermined,Enterobacteriales,Enterobacteriaceae,Serratia,Serratia sp. G5_1_3BO2,G5_1_3BO2,16S ribosomal RNA,1273,"Serratia sp. G5_1_3BO2 16S ribosomal RNA gene, partial sequence",1
KF600424.1,Bacteria,undetermined,Proteobacteria,undetermined,Unknown,Halomonadaceae,Zymobacter,Zymobacter palmae,B3_4BO2,16S ribosomal RNA,1283,"Zymobacter palmae strain B3_4BO2 16S ribosomal RNA gene, partial sequence",7
NR_118490.1,undetermined,undetermined,Proteobacteria,undetermined,Orbales,Unknown,unknown,Frischella perrara,PEB0191,16S ribosomal RNA,1534,"Frischella perrara strain PEB0191 16S ribosomal RNA gene, partial sequence",5
KF600252.1,Bacteria,undetermined,Proteobacteria,undetermined,Orbales,Unknown,Gilliamella,Gilliamella apicola,G5_4_4TCO2,16S ribosomal RNA,1342,"Gilliamella apicola strain G5_4_4TCO2 16S ribosomal RNA gene, partial sequence",6
KF600358.1,undetermined,undetermined,Proteobacteria,undetermined,Orbales,Orbaceae,Gilliamella,Gilliamella apicola,G7_7_4TO2,16S ribosomal RNA,1368,"Gilliamella apicola strain G7_7_4TO2 16S ribosomal RNA gene, partial sequence",1
KF600122.1,undetermined,undetermined,Proteobacteria,undetermined,Orbales,Unknown,Gilliamella,Gilliamella apicola,M2_9_1TCO2,16S ribosomal RNA,1117,"Gilliamella apicola strain M2_9_1TCO2 16S ribosomal RNA gene, partial sequence",1
HM108449.1,undetermined,undetermined,Proteobacteria,Gammaproteobacteria,Orbales,Unknown,Gilliamella,Gilliamella apicola,Not Available,16S ribosomal RNA,1495,"Candidatus Gilliamella apicola clone SHAJ012 16S ribosomal RNA gene, partial sequence",1
NR_118433.1,Bacteria,undetermined,undetermined,Gammaproteobacteria,Orbales,Unknown,Gilliamella,Gilliamella apicola,wkB1,16S ribosomal RNA,1538,"Gilliamella apicola strain wkB1 16S ribosomal RNA gene, complete sequence",16
KJ741209.1,undetermined,undetermined,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,Gilliamella sp. B13,B13,16S ribosomal RNA,1460,"Gilliamella sp. B13 16S ribosomal RNA gene, partial sequence",1
JX402203.1,undetermined,undetermined,Proteobacteria,undetermined,Unknown,Moraxellaceae,Acinetobacter,Acinetobacter apis,HYN18,16S ribosomal RNA,1497,"Acinetobacter apis strain HYN18 16S ribosomal RNA gene, partial sequence",1
DQ339672.1,Bacteria,undetermined,Proteobacteria,Gammaproteobacteria,Unknown,Unknown,Acinetobacter,Acinetobacter calcoaceticus,BRL02-42A,16S ribosomal RNA,891,"Acinetobacter calcoaceticus isolate BRL02-42A 16S ribosomal RNA gene, partial sequence",3
HM008722.1,undetermined,undetermined,Proteobacteria,undetermined,Pseudomonadales,Unknown,unknown,Acinetobacter cf. baumannii*,Not Available,16S ribosomal RNA,1498,"Uncultured Acinetobacter sp. clone AMW_A2 16S ribosomal RNA gene, partial sequence",1
EF565936.1,Bacteria,undetermined,Proteobacteria,undetermined,Unknown,Moraxellaceae,Acinetobacter,Acinetobacter cf. nectaris*,NF4,16S ribosomal RNA,1421,"Acinetobacter sp. NF4 16S ribosomal RNA gene, partial sequence",5
KJ638101.1,undetermined,undetermined,undetermined,undetermined,Pseudomonadales,Unknown,unknown,Moraxellaceae bacterium*,AMHSOQ139,16S ribosomal RNA,1145,"Moraxella osloensis strain AMHSOQ139 16S ribosomal RNA gene, partial sequence",1
KM975635.1,undetermined,undetermined,Proteobacteria,Gammaproteobacteria,Unknown,Pseudomonadaceae,unknown,Pseudomonas aeruginosa,H7,16S ribosomal RNA,1104,"Pseudomonas aeruginosa strain H7 16S ribosomal RNA gene, partial sequence",1
KJ638090.1,undetermined,undetermined,undetermined,undetermined,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas cf. oryzihabitans / psychrotolerans*,AMHSBQ136,16S ribosomal RNA,1118,"Pseudomonas oryzihabitans strain AMHSBQ136 16S ribosomal RNA gene, partial sequence",1
KJ638095.1,undetermined,undetermined,Proteobacteria,undetermined,Unknown,Unknown,Pseudomonas,Pseudomonas orientalis,AMHSBQ298,16S ribosomal RNA,1298,"Pseudomonas orientalis strain AMHSBQ298 16S ribosomal RNA gene, partial sequence",1
DQ339646.1,undetermined,undetermined,undetermined,undetermined,Unknown,Xanthomonadaceae,unknown,Stenotrophomonas maltophilia,BRL02-11,16S ribosomal RNA,649,"Stenotrophomonas maltophilia isolate BRL02-11 16S ribosomal RNA gene, partial sequence",1
DQ339651.1,undetermined,undetermined,undetermined,undetermined,Unknown,Unknown,Stenotrophomonas,Stenotrophomonas maltophilia,BRL02-19,16S ribosomal RNA,892,"Stenotrophomonas maltophilia isolate BRL02-19 16S ribosomal RNA gene, partial sequence",2
DQ339652.1,undetermined,undetermined,Proteobacteria,Gammaproteobacteria,Unknown,Unknown,Stenotrophomonas,Stenotrophomonas maltophilia,BRL02-20,16S ribosomal RNA,887,"Stenotrophomonas maltophilia isolate BRL02-20 16S ribosomal RNA gene, partial sequence",1
DQ339640.1,undetermined,undetermined,Proteobacteria,Gammaproteobacteria,Unknown,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,BRL02-5,16S ribosomal RNA,661,"Stenotrophomonas maltophilia isolate BRL02-5 16S ribosomal RNA gene, partial sequence",1
DQ339642.1,undetermined,undetermined,Proteobacteria,undetermined,Xanthomonadales,Unknown,Stenotrophomonas,Stenotrophomonas maltophilia,BRL02-6B,16S ribosomal RNA,922,"Stenotrophomonas maltophilia isolate BRL02-6B 16S ribosomal RNA gene, partial sequence",2
HM037701.1,undetermined,undetermined,undetermined,Mollicutes,Entomoplasmatales,Unknown,unknown,Spiroplasma cf. melliferum*,MF0904,16S ribosomal RNA,1373,"Spiroplasma sp. MF0904 16S ribosomal RNA gene, partial sequence",1
NR_025756.1,Bacteria,undetermined,undetermined,Mollicutes,Unknown,Spiroplasmataceae,Spiroplasma,Spiroplasma melliferum,BC-3; ATCC 33219,16S ribosomal RNA,1515,"Spiroplasma melliferum strain BC-3 16S ribosomal RNA gene, complete sequence",3
KF706369.1,undetermined,undetermined,Tenericutes,Mollicutes,Unknown,Unknown,Spiroplasma,Spiroplasma melliferum,Not Available,16S ribosomal RNA,886,"Spiroplasma melliferum clone 0 16S ribosomal RNA gene, partial sequence",4
HM037700.1,Bacteria,undetermined,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma sp. MF0905,MF0905,16S ribosomal RNA,1430,"Spiroplasma sp. MF0905 16S ribosomal RNA gene, partial sequence",1
