Samplenr,Seedlingnr,Plot,Record,Month,Planted_Species,Density,Treatment,Dead,Height_P,Height_G,Leaves_Liv,Leaves_Dam,Leaves_Dead,Damage_pro,Biomass_Above,Biomass_Below
1.01.2,1.01,1,2,2015 (September),D.glaucifolia,1,Light,0,43.9,43.9,23.0,15.0,0.0,2.0,,
1.01.0,1.01,1,0,2015 (July),D.glaucifolia,1,Light,0,15.2,,10.0,,,,,
1.01.1,1.01,1,1,2015 (August),D.glaucifolia,1,Light,0,,35.2,17.0,,,,,
1.01.3,1.01,1,3,2016 (September),D.glaucifolia,1,Light,0,162.0,,136.0,136.0,,30.0,138.04,66.13
2.01.0,2.01,2,0,2015 (July),C.glauca,4,Shadow,0,14.6,,1.0,,,,,
2.01.2,2.01,2,2,2015 (September),C.glauca,4,Shadow,0,11.0,12.5,3.0,1.0,1.0,0.5,,
2.01.1,2.01,2,1,2015 (August),C.glauca,4,Shadow,0,,13.5,0.0,,,,,
2.01.3,2.01,2,3,2016 (September),C.glauca,4,Shadow,1,,,,,,,,
2.02.0,2.02,2,0,2015 (July),C.glauca,4,Shadow,0,19.2,,5.0,,,,,
2.02.2,2.02,2,2,2015 (September),C.glauca,4,Shadow,1,0.0,,0.0,0.0,3.0,,,
3.03.2,3.03,3,2,2015 (September),L.glaber,4,Light,0,11.7,11.7,0.0,0.0,3.0,,,
3.03.1,3.03,3,1,2015 (August),L.glaber,4,Light,0,,9.7,0.0,,,,,
3.04.3,3.04,3,3,2016 (September),L.glaber,4,Light,1,,,,,,,,
3.04.0,3.04,3,0,2015 (July),L.glaber,4,Light,0,18.4,,8.0,,,,,
3.04.2,3.04,3,2,2015 (September),L.glaber,4,Light,0,17.2,17.2,0.0,0.0,0.0,,,
3.04.1,3.04,3,1,2015 (August),L.glaber,4,Light,0,,17.8,0.0,,,,,
4.04.0,4.04,4,0,2015 (July),D.glaucifolia,4,Shadow,0,14.5,,8.0,,,,,
4.04.1,4.04,4,1,2015 (August),D.glaucifolia,4,Shadow,0,,14.2,0.0,,,,,
4.04.2,4.04,4,2,2015 (September),D.glaucifolia,4,Shadow,1,0.0,,0.0,0.0,0.0,,,
5.03.2,5.03,5,2,2015 (September),Q.serrata,4,Shadow,0,33.2,33.2,10.0,3.0,0.0,30.0,,
5.03.1,5.03,5,1,2015 (August),Q.serrata,4,Shadow,0,,29.5,0.0,,,,,
5.03.3,5.03,5,3,2016 (September),Q.serrata,4,Shadow,1,,,,,,,,
5.04.0,5.04,5,0,2015 (July),Q.serrata,4,Shadow,0,19.6,,5.0,,,,,
5.04.2,5.04,5,2,2015 (September),Q.serrata,4,Shadow,0,24.7,24.7,8.0,8.0,0.0,50.0,,
5.04.1,5.04,5,1,2015 (August),Q.serrata,4,Shadow,0,,19.3,3.0,,,,,
5.04.3,5.04,5,3,2016 (September),Q.serrata,4,Shadow,0,23.0,,7.0,7.0,,65.0,0.66,1.01
6.25.0,6.25,6,0,2015 (July),C.sclerophylla,25,Light,0,3.1,,4.0,,,,,
6.25.1,6.25,6,1,2015 (August),C.sclerophylla,25,Light,0,,2.1,3.0,,,,,
6.25.2,6.25,6,2,2015 (September),C.sclerophylla,25,Light,0,5.4,5.4,9.0,6.0,0.0,15.0,,
6.25.3,6.25,6,3,2016 (September),C.sclerophylla,25,Light,0,11.0,,5.0,5.0,,12.0,0.52,0.59
7.01.0,7.01,7,0,2015 (July),L.glaber,4,Shadow,0,11.0,,3.0,,,,,
7.04.3,7.04,7,3,2016 (September),L.glaber,4,Shadow,0,26.0,,11.0,7.0,,4.0,1.29,0.33
7.04.1,7.04,7,1,2015 (August),L.glaber,4,Shadow,0,,17.0,3.0,,,,,
8.01.0,8.01,8,0,2015 (July),D.glaucifolia,9,Shadow,0,7.5,,7.0,,,,,
8.09.0,8.09,8,0,2015 (July),D.glaucifolia,9,Shadow,1,,,,,,,,
8.09.1,8.09,8,1,2015 (August),D.glaucifolia,9,Shadow,1,,,,,,,,
8.09.2,8.09,8,2,2015 (September),D.glaucifolia,9,Shadow,0,20.0,20.0,12.0,11.0,0.0,5.0,,
9.01.0,9.01,9,0,2015 (July),C.glauca,1,Shadow,0,15.6,,4.0,,,,,
9.01.2,9.01,9,2,2015 (September),C.glauca,1,Shadow,1,0.0,,0.0,0.0,5.0,,,
9.01.3,9.01,9,3,2016 (September),C.glauca,1,Shadow,1,,,,,,,,
9.01.1,9.01,9,1,2015 (August),C.glauca,1,Shadow,0,,15.2,0.0,,,,,
11.01.3,11.01,11,3,2016 (September),C.glauca,1,Shadow,0,9.0,,2.0,1.0,,25.0,0.35,0.24
11.01.0,11.01,11,0,2015 (July),C.glauca,1,Shadow,0,14.0,,0.0,,,,,
11.01.2,11.01,11,2,2015 (September),C.glauca,1,Shadow,0,10.0,12.0,1.0,0.0,3.0,95.0,,
11.01.1,11.01,11,1,2015 (August),C.glauca,1,Shadow,0,,9.5,1.0,,,,,
12.09.2,12.09,12,2,2015 (September),C.fargesii,9,Shadow,0,18.0,18.0,7.0,6.0,0.0,5.0,,
12.09.1,12.09,12,1,2015 (August),C.fargesii,9,Shadow,0,,13.5,6.0,,,,,
12.09.3,12.09,12,3,2016 (September),C.fargesii,9,Shadow,0,45.0,,19.0,19.0,,3.0,2.23,0.54
16.02.3,16.02,16,3,2016 (September),L.formosana,4,Light,0,155.0,,106.0,106.0,,10.0,61.96,16.42
16.03.1,16.03,16,1,2015 (August),L.formosana,4,Light,0,,34.6,17.0,,,,,
16.03.3,16.03,16,3,2016 (September),L.formosana,4,Light,0,161.0,,288.0,288.0,,10.0,155.4,81.71
16.03.2,16.03,16,2,2015 (September),L.formosana,4,Light,0,40.5,40.5,51.0,31.0,0.0,0.5,,
16.03.0,16.03,16,0,2015 (July),L.formosana,4,Light,0,23.0,,11.0,,,,,
16.04.0,16.04,16,0,2015 (July),L.formosana,4,Light,0,38.5,,23.0,,,,,
16.04.1,16.04,16,1,2015 (August),L.formosana,4,Light,0,,40.3,29.0,,,,,
16.04.3,16.04,16,3,2016 (September),L.formosana,4,Light,0,153.0,,277.0,277.0,,12.0,95.39,45.21
16.04.2,16.04,16,2,2015 (September),L.formosana,4,Light,0,42.5,42.5,39.0,34.0,0.0,0.1,,
19.01.0,19.01,19,0,2015 (July),C.sclerophylla,1,Shadow,0,4.1,,4.0,,,,,
19.01.1,19.01,19,1,2015 (August),C.sclerophylla,1,Shadow,0,,4.6,5.0,,,,,
19.01.2,19.01,19,2,2015 (September),C.sclerophylla,1,Shadow,0,7.2,7.2,6.0,4.0,0.0,0.1,,
23.09.2,23.09,23,2,2015 (September),R.chinensis,9,Light,1,0.0,,0.0,0.0,0.0,,,
23.09.1,23.09,23,1,2015 (August),R.chinensis,9,Light,1,,,,,,,,
52.08.1,52.08,52,1,2015 (August),D.glaucifolia,9,Light,0,,25.2,14.0,,,,,
52.08.0,52.08,52,0,2015 (July),D.glaucifolia,9,Light,0,10.4,,9.0,,,,,
52.08.3,52.08,52,3,2016 (September),D.glaucifolia,9,Light,1,,,,,,,,
52.08.2,52.08,52,2,2015 (September),D.glaucifolia,9,Light,1,,,,,,,,
52.09.1,52.09,52,1,2015 (August),D.glaucifolia,9,Light,0,,21.3,11.0,,,,,
52.09.0,52.09,52,0,2015 (July),D.glaucifolia,9,Light,0,8.5,,7.0,,,,,
52.09.3,52.09,52,3,2016 (September),D.glaucifolia,9,Light,1,,,,,,,,
52.09.2,52.09,52,2,2015 (September),D.glaucifolia,9,Light,1,,,,,,,,
53.01.3,53.01,53,3,2016 (September),L.glaber,25,Light,1,,,,,,,,
53.01.2,53.01,53,2,2015 (September),L.glaber,25,Light,0,0.0,14.3,0.0,0.0,0.0,,,
53.01.0,53.01,53,0,2015 (July),L.glaber,25,Light,0,18.6,,1.0,,,,,
53.01.1,53.01,53,1,2015 (August),L.glaber,25,Light,0,,18.5,2.0,,,,,
53.02.1,53.02,53,1,2015 (August),L.glaber,25,Light,0,,17.4,4.0,,,,,
53.02.3,53.02,53,3,2016 (September),L.glaber,25,Light,1,,,,,,,,
53.02.2,53.02,53,2,2015 (September),L.glaber,25,Light,1,,,,,,,,
53.02.0,53.02,53,0,2015 (July),L.glaber,25,Light,0,16.2,,1.0,,,,,
53.03.0,53.03,53,0,2015 (July),L.glaber,25,Light,0,22.1,,1.0,,,,,
53.03.1,53.03,53,1,2015 (August),L.glaber,25,Light,0,,20.8,2.0,,,,,
53.03.2,53.03,53,2,2015 (September),L.glaber,25,Light,1,,,,,,,,
53.03.3,53.03,53,3,2016 (September),L.glaber,25,Light,1,,,,,,,,
53.04.1,53.04,53,1,2015 (August),L.glaber,25,Light,0,,13.5,1.0,,,,,
53.04.2,53.04,53,2,2015 (September),L.glaber,25,Light,1,,,,,,,,
53.04.3,53.04,53,3,2016 (September),L.glaber,25,Light,1,,,,,,,,
53.04.0,53.04,53,0,2015 (July),L.glaber,25,Light,0,13.8,,1.0,,,,,
53.05.1,53.05,53,1,2015 (August),L.glaber,25,Light,1,,,,,,,,
53.05.0,53.05,53,0,2015 (July),L.glaber,25,Light,0,14.3,,2.0,,,,,
53.05.3,53.05,53,3,2016 (September),L.glaber,25,Light,1,,,,,,,,
53.05.2,53.05,53,2,2015 (September),L.glaber,25,Light,1,,,,,,,,
53.06.1,53.06,53,1,2015 (August),L.glaber,25,Light,0,,14.0,1.0,,,,,
55.01.1,55.01,55,1,2015 (August),Q.serrata,1,Shadow,0,,28.0,15.0,,,,,
55.01.3,55.01,55,3,2016 (September),Q.serrata,1,Shadow,0,35.0,,9.0,9.0,,40.0,1.97,1.7
55.01.2,55.01,55,2,2015 (September),Q.serrata,1,Shadow,0,29.8,29.8,14.0,14.0,0.0,70.0,,
55.01.0,55.01,55,0,2015 (July),Q.serrata,1,Shadow,0,27.4,,14.0,,,,,
56.01.3,56.01,56,3,2016 (September),L.glaber,4,Shadow,0,30.0,,22.0,18.0,,3.0,0.63,1.57
56.01.0,56.01,56,0,2015 (July),L.glaber,4,Shadow,0,13.9,,3.0,,,,,
56.01.1,56.01,56,1,2015 (August),L.glaber,4,Shadow,0,,13.1,3.0,,,,,
56.01.2,56.01,56,2,2015 (September),L.glaber,4,Shadow,0,13.0,13.0,8.0,5.0,0.0,1.0,,
56.02.1,56.02,56,1,2015 (August),L.glaber,4,Shadow,0,,12.3,2.0,,,,,
56.02.2,56.02,56,2,2015 (September),L.glaber,4,Shadow,1,,,,,,,,
56.02.0,56.02,56,0,2015 (July),L.glaber,4,Shadow,0,12.6,,2.0,,,,,
56.02.3,56.02,56,3,2016 (September),L.glaber,4,Shadow,0,,,,,,,0.87,1.01
56.03.1,56.03,56,1,2015 (August),L.glaber,4,Shadow,1,,,,,,,,
56.03.2,56.03,56,2,2015 (September),L.glaber,4,Shadow,0,13.0,16.5,2.0,2.0,0.0,0.1,,
56.03.0,56.03,56,0,2015 (July),L.glaber,4,Shadow,0,10.7,,1.0,,,,,
56.03.3,56.03,56,3,2016 (September),L.glaber,4,Shadow,0,18.0,,8.0,8.0,,5.0,0.74,0.22
56.04.1,56.04,56,1,2015 (August),L.glaber,4,Shadow,0,,11.5,6.0,,,,,
56.04.3,56.04,56,3,2016 (September),L.glaber,4,Shadow,0,17.0,,5.0,5.0,,12.0,2.93,2.69
56.04.2,56.04,56,2,2015 (September),L.glaber,4,Shadow,0,15.7,17.5,5.0,5.0,1.0,1.0,,
56.04.0,56.04,56,0,2015 (July),L.glaber,4,Shadow,0,10.3,,3.0,,,,,
57.01.1,57.01,57,1,2015 (August),Q.serrata,1,Shadow,0,,37.1,18.0,,,,,
57.01.0,57.01,57,0,2015 (July),Q.serrata,1,Shadow,0,33.2,,15.0,,,,,
57.01.3,57.01,57,3,2016 (September),Q.serrata,1,Shadow,0,48.0,,29.0,29.0,,40.0,4.33,3.74
57.01.2,57.01,57,2,2015 (September),Q.serrata,1,Shadow,0,40.0,40.0,21.0,20.0,1.0,80.0,,
58.01.1,58.01,58,1,2015 (August),Q.serrata,25,Shadow,0,,49.2,13.0,,,,,
58.01.2,58.01,58,2,2015 (September),Q.serrata,25,Shadow,0,17.0,17.0,6.0,6.0,0.0,10.0,,
58.01.0,58.01,58,0,2015 (July),Q.serrata,25,Shadow,0,50.8,,17.0,,,,,
58.01.3,58.01,58,3,2016 (September),Q.serrata,25,Shadow,1,,,,,,,,
58.02.1,58.02,58,1,2015 (August),Q.serrata,25,Shadow,0,,12.1,6.0,,,,,
58.02.2,58.02,58,2,2015 (September),Q.serrata,25,Shadow,0,18.0,18.0,4.0,4.0,0.0,80.0,,
58.02.0,58.02,58,0,2015 (July),Q.serrata,25,Shadow,0,11.6,,5.0,,,,,
58.02.3,58.02,58,3,2016 (September),Q.serrata,25,Shadow,0,23.0,,9.0,9.0,,5.0,,
58.03.1,58.03,58,1,2015 (August),Q.serrata,25,Shadow,1,,,,,,,,
58.03.3,58.03,58,3,2016 (September),Q.serrata,25,Shadow,0,52.0,,22.0,22.0,,5.0,4.02,4.47
58.03.2,58.03,58,2,2015 (September),Q.serrata,25,Shadow,0,47.5,47.5,13.0,13.0,1.0,75.0,,
58.03.0,58.03,58,0,2015 (July),Q.serrata,25,Shadow,1,,,,,,,,
58.04.1,58.04,58,1,2015 (August),Q.serrata,25,Shadow,0,,20.3,8.0,,,,,
58.04.2,58.04,58,2,2015 (September),Q.serrata,25,Shadow,0,24.0,24.0,9.0,9.0,0.0,80.0,,
58.04.0,58.04,58,0,2015 (July),Q.serrata,25,Shadow,0,20.6,,9.0,,,,,
58.04.3,58.04,58,3,2016 (September),Q.serrata,25,Shadow,0,35.0,,31.0,31.0,,50.0,,
58.05.1,58.05,58,1,2015 (August),Q.serrata,25,Shadow,0,,26.7,9.0,,,,,
58.05.2,58.05,58,2,2015 (September),Q.serrata,25,Shadow,0,35.0,35.0,12.0,12.0,0.0,80.0,,
58.05.3,58.05,58,3,2016 (September),Q.serrata,25,Shadow,0,31.0,,15.0,15.0,,60.0,1.91,3.1
58.05.0,58.05,58,0,2015 (July),Q.serrata,25,Shadow,0,27.8,,7.0,,,,,
58.06.1,58.06,58,1,2015 (August),Q.serrata,25,Shadow,0,,39.6,7.0,,,,,
58.06.3,58.06,58,3,2016 (September),Q.serrata,25,Shadow,0,42.0,,17.0,17.0,,30.0,2.72,2.11
58.06.0,58.06,58,0,2015 (July),Q.serrata,25,Shadow,0,37.4,,8.0,,,,,
58.06.2,58.06,58,2,2015 (September),Q.serrata,25,Shadow,0,41.0,41.0,29.0,28.0,0.0,75.0,,
58.07.1,58.07,58,1,2015 (August),Q.serrata,25,Shadow,0,,22.0,8.0,,,,,
58.07.0,58.07,58,0,2015 (July),Q.serrata,25,Shadow,0,19.9,,9.0,,,,,
58.07.3,58.07,58,3,2016 (September),Q.serrata,25,Shadow,0,50.0,,30.0,30.0,,60.0,3.53,1.9
58.07.2,58.07,58,2,2015 (September),Q.serrata,25,Shadow,0,22.0,22.0,11.0,11.0,0.0,85.0,,
58.08.2,58.08,58,2,2015 (September),Q.serrata,25,Shadow,0,25.0,25.0,6.0,6.0,0.0,60.0,,
