Samplecode,Sample.Collector,Species,Year_Collected,Exp_Site,Exp_vicinity,Exp_Plot,Exp_Plot_Position,TAG,neighbour.tree_TAG,shrub.TAG,Leaf.fresh.weight,Leaf.dry.weight,LA,SLA,LDMC,N,C,CN,K,Mg,Ca,Al,Ca2,Fe,K2,Mg2,Mn,Na,P,S,Zn,Co,Cu,Pb,Sr,Cr,Ni,stomata.density,average.length,average.width,Phenolics,Tannin
A-13-B34,David Eichenberg,Castanopsis eyrei,2011.0,A,,B34,212.0,t102340010212,,,0.9,380.0,811.4,8.32,422.222222222222,1.243,46.087,37.065,,,,0.19,8.66,0.23,9.22,2.92,1.15,3.94,1.41,2.86,0.08,0.0,0.02,0.0,0.04,0.01,0.0,,,,,
A-4-B34,David Eichenberg,Choerospondias axillaris,2011.0,A,,B34,505.0,t102340010505,,,7.18,2570.0,28448.39,11.71,357.938718662953,1.367,46.834,34.262,,,,,,,,,,,,,,,,,,,,,,,79.441,61.523
A-27-B34,David Eichenberg,Acer davidii,2011.0,A,,B34,704.0,t102340010704,,,6.44,2090.0,2903.94,21.12,324.534161490683,1.62,45.874,28.312,,,,0.529,23.081,0.383,11.7,6.011,3.682,1.75,1.485,3.967,0.132,0.0,0.002,0.0,0.071,0.003,0.001,,,,,
A-6-B34,David Eichenberg,Liquidambar formosana,2011.0,A,,B34,1009.0,t102340011009,,,4.8,1640.0,4311.37,12.41,341.666666666667,1.456,46.323,31.826,,,,1.268,17.149,0.442,12.126,5.14,5.421,2.219,1.567,3.137,0.125,0.002,0.016,0.0,0.038,0.007,0.015,,,,99.027,96.394
A-17-B34,David Eichenberg,Cinnamomum camphora,2011.0,A,,B34,1011.0,t102340011011,,,1.69,630.0,2435.64,10.04,372.781065088757,1.475,46.998,31.867,,,,,,,,,,,,,,,,,,,,,,,25.041,34.478
A-22-B34,David Eichenberg,Triadica cochinchinensis,2011.0,A,,B34,1111.0,t102340011111,,,2.76,860.0,1732.63,15.4,311.594202898551,1.908,46.27,24.257,,,,,,,,,,,,,,,,,,,,,,,196.511,313.198
A-3-B34,David Eichenberg,Schima superba,2011.0,A,,B34,1411.0,t102340011411,,,3.46,1280.0,3337.58,10.51,369.942196531792,1.307,47.924,36.668,,,,1.662,11.43,0.243,14.913,3.801,2.735,1.895,1.143,2.923,0.337,0.002,0.005,0.0,0.029,0.007,0.003,,,,,
A-1-B34,David Eichenberg,Castanea henryi,2011.0,A,,B34,1512.0,t102340011512,,,1.43,610.0,2305.47,12.63,426.573426573427,2.07,48.118,23.243,,,,0.435,12.65,0.267,14.648,3.423,2.586,6.097,1.442,4.138,0.116,0.002,0.018,0.022,0.057,0.014,0.005,,,,,
A-11-B38/C38,David Eichenberg,Cyclobalanopsis glauca,2011.0,A,,B38/C38,507.0,t102381010507,,,4.8,2290.0,2977.07,7.09,477.083333333333,1.311,46.837,35.727,,,,,,,,,,,,,,,,,,,,,,,30.899,64.281
B-13-D25,David Eichenberg,Castanopsis eyrei,2011.0,B,,D25,1811.0,t204250011811,,,1.3,600.0,649.12,7.87,461.538461538462,1.542,47.852,31.026,,,,0.26,6.921,0.218,9.624,2.64,2.705,2.252,1.235,2.409,0.258,0.001,0.011,0.009,0.019,0.011,0.006,,,,235.029,202.989
diogla_A_E29_0601_22-08-12,Wenzel Kroeber,Diospyros japonica,2012.0,A,,E29,601.0,t105290010601,,,3.16,1340.0,20594.532,424.051,424.050632911392,,,,,,,,,,,,,,,,,,,,,,,,,,,
dapold_A_E29_1309_13-09-12,Wenzel Kroeber,Daphniphyllum oldhamii,2012.0,A,,E29,1309.0,t105290011309,,,4.82,1650.0,15356.929,342.324,342.323651452282,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-4d-E33,David Eichenberg,Distylium myricoides,2011.0,A,,E33,18.0,,t105330010018,,0.65,260.0,1540.23,8.11,400.0,0.84,44.284,52.7,,,,,,,,,,,,,,,,,,,,,,,66.093,78.676
A-1-E35,David Eichenberg,Castanea henryi,2011.0,A,,E35,302.0,t105350010302,,,1.77,730.0,2597.62,15.74,412.429378531073,1.791,46.978,26.236,,,,0.765,10.534,0.255,12.407,3.904,3.644,6.386,1.491,3.392,0.148,0.003,0.015,0.0,0.042,0.007,0.004,,,,93.448,144.053
A-2-E36,David Eichenberg,Pinus massoniana,2011.0,A,,E36,307.0,t105360010307,,,2.31,780.0,145.03,3.86,337.662337662338,1.349,47.679,35.342,,,,,,,,,,,,,,,,,,,,,,,,
B-32-F25,David Eichenberg,Castanopsis fargesii,2011.0,B,,F25,6.0,t206250010006,,,1.02,490.0,1688.09,12.28,480.392156862745,1.704,47.367,27.791,,,,,,,,,,,,,,,,,,,,,,,,
B-40-F25,David Eichenberg,Machilus thunbergii,2011.0,B,,F25,216.0,t206250010216,,,2.03,910.0,851.48,13.62,448.275862068966,1.519,47.451,31.25,,,,,,,,,,,,,,,,,,,,,,,,
B-13m-F27,David Eichenberg,Itea chinensis,2011.0,B,,F27,1.0,,t206270010001,,1.48,500.0,1122.86,10.95,337.837837837838,1.62,46.115,28.468,,,,1.487,18.502,0.92,11.16,3.314,1.71,2.589,2.097,4.197,0.262,0.0,0.008,0.0,0.087,0.017,0.006,,,,,
koebip_A_F28_0413_13-09-12,Wenzel Kroeber,Koelreuteria bipinnata,2012.0,A,,F28,413.0,t106280010413,,,38.54,20720.0,222812.895,537.623,537.623248572911,,,,,,,,,,,,,,,,,,,,,,,,,,,
koebip_A_F28_0914_09-09-12,Wenzel Kroeber,Koelreuteria bipinnata,2012.0,A,,F28,914.0,t106280010914,,,71.86,36270.0,283236.423,504.731,504.731422209852,,,,,,,,,,,,,,,,,,,,,,,,,,,
cycmyr_A_F28_1713_09-09-12,Wenzel Kroeber,Cyclobalanopsis myrsinifolia,2012.0,A,,F28,1713.0,t106280011713,,,3.12,1470.0,10998.003,471.154,471.153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,
cascar_A_F29_0000_13-09-12,Wenzel Kroeber,Castanopsis carlesii,2012.0,A,,F29,0.0,t106290010000,,,1.42,580.0,6464.519,408.451,408.450704225352,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-8-G26,David Eichenberg,Quercus serrata,2011.0,A,,G26,1808.0,t107260011808,,,1.03,600.0,1424.74,15.0,582.52427184466,1.848,47.407,25.649,,,,,,,,,,,,,,,,,,,,,,,33.547,131.197
A-6f-G26,David Eichenberg,Rhaphiolepis indica,2011.0,A,,G26,1811.0,,t107260011811,,1.27,550.0,1084.33,5.42,433.070866141732,1.216,46.495,38.229,,,,,,,,,,,,,,,,,,,,,,,9.024,14.086
sapmuk_A_G31_0601_22-08-12,Wenzel Kroeber,Sapindus saponaria,2012.0,A,,G31,601.0,t107310010601,,,40.14,18130.0,239306.207,451.669,451.669157947185,,,,,,,,,,,,,,,,,,,,,,,,,,,
liqfor_A_G31_0801_22-08-12,Wenzel Kroeber,Liquidambar formosana,2012.0,A,,G31,801.0,t107310010801,,,6.02,2460.0,25182.629,408.638,408.637873754153,,,,,,,,,,,,,,,,,,,,,,,,,,,
diogla_A_G32_0502_17-08-12,Wenzel Kroeber,Diospyros japonica,2012.0,A,,G32,502.0,t107320010502,,,11.13,4300.0,43432.254,386.343,386.343216531896,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyssin_A_G32_0606_17-08-12,Wenzel Kroeber,Nyssa sinensis,2012.0,A,,G32,606.0,t107320010606,,,7.32,2840.0,32781.966,387.978,387.978142076503,,,,,,,,,,,,,,,,,,,,,,,,,,,
schsup_A_G32_0805_17-08-12,Wenzel Kroeber,Schima superba,2012.0,A,,G32,805.0,t107320010805,,,4.5,1900.0,17186.249,422.222,422.222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapdis_A_G32_0806_17-08-12,Wenzel Kroeber,Triadica cochinchinensis,2012.0,A,,G32,806.0,t107320010806,,,3.48,1490.0,13295.192,428.161,428.16091954023,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-24-G33,David Eichenberg,Quercus fabri,2011.0,A,,G33,203.0,t107330010203,,,1.52,740.0,1580.89,13.17,486.842105263158,1.768,46.473,26.291,,,,,,,,,,,,,,,,,,,,,,,127.262,132.615
A-19-G34,David Eichenberg,Sapindus saponaria,2011.0,A,,G34,201.0,t107340010201,,,11.28,3910.0,41411.09,13.58,346.631205673759,1.429,46.529,32.566,,,,0.185,18.079,0.28,16.862,5.032,1.426,2.039,1.417,3.821,0.108,0.001,0.014,0.0,0.062,0.007,0.005,,,,13.574,1.814
A-25-G34,David Eichenberg,Quercus acutissima,2011.0,A,,G34,215.0,t107340010215,,,2.0,970.0,2635.05,12.85,485.0,1.98,48.694,24.596,,,,,,,,,,,,,,,,,,,,,,,127.5,89.85
choaxi_A_G34_0406_23-08-12,Wenzel Kroeber,Choerospondias axillaris,2012.0,A,,G34,406.0,t107340010406,,,19.44,8290.0,84498.866,426.44,426.440329218107,,,,,,,,,,,,,,,,,,,,,,,,,,,
cashen_A_G34_0412_23-08-12,Wenzel Kroeber,Castanea henryi,2012.0,A,,G34,412.0,t107340010412,,,2.66,1270.0,11464.247,477.444,477.443609022556,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-27-G34,David Eichenberg,Acer davidii,2011.0,A,,G34,413.0,t107340010413,,,2.05,550.0,4017.83,14.74,268.292682926829,1.313,44.827,34.144,,,,0.567,14.087,0.475,18.723,5.356,3.142,2.582,2.625,5.316,0.089,0.001,0.007,0.0,0.047,0.008,0.005,,,,,
A-12-G34,David Eichenberg,Lithocarpus glaber,2011.0,A,,G34,417.0,t107340010417,,,1.7,760.0,1227.42,10.67,447.058823529412,1.13,48.475,42.916,,,,0.166,12.126,0.166,8.516,2.295,1.079,2.237,0.843,1.668,0.09,0.001,0.004,0.0,0.028,0.004,0.006,,,,,
cycmyr_A_G34_0512_23-08-12,Wenzel Kroeber,Cyclobalanopsis myrsinifolia,2012.0,A,,G34,512.0,t107340010512,,,1.88,1010.0,6695.604,537.234,537.234042553192,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-9-G34,David Eichenberg,Cyclobalanopsis myrsinifolia,2011.0,A,,G34,512.0,t107340010512,,,1.51,740.0,1357.89,9.53,490.066225165563,1.41,45.736,32.433,,,,0.21,16.39,0.36,14.17,2.77,3.04,2.41,1.43,3.14,0.03,0.0,0.01,0.0,0.02,0.03,0.01,,,,,
A-22-G34,David Eichenberg,Triadica cochinchinensis,2011.0,A,,G34,513.0,t107340010513,,,1.46,450.0,3753.85,15.64,308.219178082192,1.871,46.157,24.676,,,,,,,,,,,,,,,,,,,,,,,,
A-15-G34,David Eichenberg,Diospyros japonica,2011.0,A,,G34,516.0,t107340010516,,,6.91,2180.0,5253.96,14.39,315.48480463097,1.608,46.304,28.797,,,,0.253,18.726,0.288,46.414,5.558,3.394,2.616,1.614,4.438,0.039,0.0,0.007,0.0,0.027,0.006,0.004,,,,,
rhuchi_A_G34_0609_23-08-12,Wenzel Kroeber,Rhus chinensis,2012.0,A,,G34,609.0,t107340010609,,,50.33,20890.0,177271.662,415.061,415.060600039738,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-23-G34,David Eichenberg,Rhus chinensis,2011.0,A,,G34,810.0,t107340010810,,,8.46,3010.0,20042.8,10.44,355.791962174941,1.941,50.147,25.832,,,,0.194,18.805,0.322,17.073,4.51,0.058,1.644,1.323,2.784,0.053,0.0,0.008,0.0,0.074,0.003,0.003,,,,,
A-2-H14,David Eichenberg,Pinus massoniana,2011.0,A,,H14,1507.0,t108140011507,,,4.14,1240.0,91.04,2.32,299.51690821256,1.077,44.428,41.261,,,,0.321,7.539,0.254,15.632,2.995,0.893,6.668,1.904,2.708,0.076,0.001,0.021,0.008,0.038,0.009,0.013,,,,,
nyssin_A_H25_1902_09-09-12,Wenzel Kroeber,Nyssa sinensis,2012.0,A,,H25,1902.0,t108250011902,,,6.04,1870.0,28490.962,309.603,309.602649006623,,,,,,,,,,,,,,,,,,,,,,,,,,,
elajap_B_I22_1600_31-08-12,Wenzel Kroeber,Elaeocarpus japonicus,2012.0,B,,I22,1600.0,t209220011600,,,2.62,1100.0,10249.29,419.847,419.847328244275,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-30-I22,David Eichenberg,Alniphyllum fortunei,2011.0,B,,I22,1716.0,t209220011716,,,2.41,790.0,2672.02,12.57,327.800829875519,1.833,46.068,25.132,,,,,,,,,,,,,,,,,,,,,,,,
B-13-I23,David Eichenberg,Castanopsis eyrei,2011.0,B,,I23,717.0,t209230010717,,,0.64,330.0,1107.29,7.64,515.625,1.56,48.104,30.828,,,,0.201,9.012,0.231,9.214,2.677,2.076,7.237,1.062,2.669,0.084,0.0,0.018,0.0,0.043,0.02,0.01,,,,,
elachi_B_I23_1415_31-08-12,Wenzel Kroeber,Elaeocarpus chinensis,2012.0,B,,I23,1415.0,t209230011415,,,1.99,860.0,7144.675,432.161,432.1608040201,,,,,,,,,,,,,,,,,,,,,,,,,,,
alnfor_B_I23_1619_31-08-12,Wenzel Kroeber,Alniphyllum fortunei,2012.0,B,,I23,1619.0,t209230011619,,,3.55,1390.0,15701.791,391.549,391.549295774648,,,,,,,,,,,,,,,,,,,,,,,,,,,
manyuy_B_I24_1511_31-08-12,Wenzel Kroeber,Manglietia fordiana,2012.0,B,,I24,1511.0,t209240011511,,,6.54,2300.0,19623.529,351.682,351.681957186544,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapseb_A_I26_0018_09-09-12,Wenzel Kroeber,Triadica sebifera,2012.0,A,,I26,18.0,t109260010018,,,1.5,520.0,7358.211,346.667,346.666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-17-I27,David Eichenberg,Cinnamomum camphora,2011.0,B,,I27,1100.0,t209270011100,,,1.5,680.0,1859.49,9.79,453.333333333333,,,,,,,0.111,24.277,0.295,5.578,5.305,4.836,5.783,1.032,2.261,0.033,0.0,0.018,0.017,0.128,0.03,0.012,,,,,
sapseb_A_I27_1316_09-09-12,Wenzel Kroeber,Triadica sebifera,2012.0,A,,I27,1316.0,t109270011316,,,1.86,740.0,7974.283,397.849,397.849462365591,,,,,,,,,,,,,,,,,,,,,,,,,,,
liqfor_A_I28_1011_09-09-12,Wenzel Kroeber,Liquidambar formosana,2012.0,A,,I28,1011.0,t109280011011,,,6.88,2670.0,29955.938,388.081,388.081395348837,,,,,,,,,,,,,,,,,,,,,,,,,,,
melfle_B_I28_1817_26-08-12,Wenzel Kroeber,Meliosma flexuosa,2012.0,B,,I28,1817.0,t209280011817,,,4.51,1810.0,25292.312,401.33,401.330376940133,,,,,,,,,,,,,,,,,,,,,,,,,,,
macgri_B_I28_1818_01-09-12,Wenzel Kroeber,Machilus grijsii,2012.0,B,,I28,1818.0,t209280011818,,,6.65,2790.0,26940.07,419.549,419.548872180451,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-26-I30,David Eichenberg,Melia azedarach,2011.0,A,,I30,118.0,t109300010118,,,9.66,3220.0,48583.88,15.88,333.333333333333,3.062,46.835,15.294,,,,,,,,,,,,,,,,,,,,,,,,
A-18-I30,David Eichenberg,Koelreuteria bipinnata,2011.0,A,,I30,1017.0,t109300011017,,,7.38,3650.0,40734.64,12.61,494.579945799458,1.422,47.293,33.254,,,,0.29,13.58,0.37,12.89,5.13,0.15,2.46,1.19,2.42,0.04,0.0,0.01,0.0,0.05,0.0,0.0,,,,,
A_J13_22_sapdis,Wenzel Kroeber,Triadica cochinchinensis,2010.0,A,,J13,,,,,0.948,348.0,5060.46,14.542,367.088607594937,,,,,,,,,,,,,,,,,,,,,,,,,,,
.J13.22.sapdis,Wenzel Kroeber,Triadica cochinchinensis,,A,,J13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.857,12.578,,
A-9-J14-1601-CR,Christian Ristok,Cyclobalanopsis myrsinifolia,2011.0,A,,J14,1601.0,t110140011601,,,,,,,,,,,,,,0.88,8.61,0.8,4.93,3.28,2.66,2.28,0.8,1.86,-0.01,0.0,0.01,0.0,0.03,0.2,0.1,,,,43.104,3.591
.J14.11.cycgla,Wenzel Kroeber,Cyclobalanopsis glauca,,A,,J14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,20.27,14.572,,
.J14.17.cincam,Wenzel Kroeber,Cinnamomum camphora,,,Unknown,J14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.543,18.26,,
.J14.12.litgla,Wenzel Kroeber,Lithocarpus glaber,,,Unknown,J14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.294,19.071,,
.J14.03.schsup,Wenzel Kroeber,Schima superba,,,Unknown,J14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.802,17.939,,
B-15-J22,David Eichenberg,Diospyros japonica,2011.0,B,,J22,1200.0,t210220011200,,,5.42,2080.0,5045.01,12.3,383.763837638376,1.873,47.671,25.45,,,,0.195,15.949,0.173,17.221,4.336,2.704,1.735,1.826,5.202,0.021,0.0,0.008,0.006,0.03,0.001,0.003,,,,,
8.12 - J24.mac_thu.40,Wenzel Kroeber,Machilus thunbergii,,B,,J24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,27.334,20.146,,
8.11 - J24.que_phy.44,Wenzel Kroeber,Quercus phillyreoides,,B,,J24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,19.371,14.708,,
8.17 - J24.cyc_gla.11,Wenzel Kroeber,Cyclobalanopsis glauca,,,Unknown,J24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,21.701,14.961,,
koebip_A_K22_1402_25-08-12,Wenzel Kroeber,Koelreuteria bipinnata,2012.0,A,,K22,1402.0,t111220011402,,,35.74,17660.0,1793511.148,494.124,494.124230554001,,,,,,,,,,,,,,,,,,,,,,,,,,,
litgla_A_K22_1407_25-08-12,Wenzel Kroeber,Lithocarpus glaber,2012.0,A,,K22,1407.0,t111220011407,,,2.5,1260.0,7359.614,504.0,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.K4.13.caseyr,Wenzel Kroeber,Castanopsis eyrei,,A,,K4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17.777,12.767,,
A_K4_13_caseyr,Wenzel Kroeber,Castanopsis eyrei,2010.0,A,,K4,,,,,0.122,66.0,682.56,10.342,540.983606557377,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.K4.10.cascar ?,Wenzel Kroeber,Castanopsis spec.,,A,,K4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.954,19.136,,
A-28-K5,David Eichenberg,Cunninghamia lanceolata,2011.0,A,,K5,1117.0,t111050011117,,,1.37,490.0,81.63,6.97,357.664233576642,1.092,45.6,41.776,,,,1.655,11.199,0.261,17.273,3.704,2.867,6.685,1.332,4.638,0.016,0.0,0.015,0.003,0.078,0.007,0.009,,,,,
B-28-K5-1509-CR,Christian Ristok,Cunninghamia lanceolata,2011.0,B,,K5,1509.0,t211050011509,,,,,,,,,,,,,,0.212,28.387,0.321,12.184,1.944,3.726,5.255,1.543,3.912,0.386,0.001,0.015,0.003,0.078,0.02,0.001,,,,46.616,25.962
A-1-L21-0507-CR,Christian Ristok,Castanea henryi,2011.0,A,,L21,507.0,t112210010507,,,,,,,,,,,,,,0.92,6.43,0.29,10.78,4.15,3.58,3.13,1.08,2.84,0.04,0.0,0.01,0.0,0.02,0.0,0.0,,,,67.057,51.781
A-4-L21-0510-CR,Christian Ristok,Choerospondias axillaris,2011.0,A,,L21,510.0,t112210010510,,,,,,,,,,,,,,0.28,11.22,0.37,16.54,3.85,0.37,2.85,1.48,3.94,0.02,0.0,0.01,0.0,0.04,0.01,0.0,,,,76.407,25.973
A-13-L21,David Eichenberg,Castanopsis eyrei,2011.0,A,,L21,611.0,t112210010611,,,0.78,390.0,872.47,8.72,500.0,1.152,46.201,40.106,,,,,,,,,,,,,,,,,,,,,,,126.148,104.698
A-9-L21,David Eichenberg,Cyclobalanopsis myrsinifolia,2011.0,A,,L21,701.0,t112210010701,,,1.19,570.0,2172.46,10.35,478.991596638655,1.713,47.001,27.439,,,,0.129,15.899,0.202,14.659,5.025,2.731,6.617,1.426,2.956,0.04,0.002,0.017,0.008,0.068,0.01,0.007,,,,29.961,12.063
A-9-L21-0701-CR,Christian Ristok,Cyclobalanopsis myrsinifolia,2011.0,A,,L21,701.0,t112210010701,,,,,,,,,,,,,,0.11,12.77,0.14,13.32,4.6,2.32,2.87,1.39,2.99,0.01,0.01,0.01,0.0,0.06,0.0,0.0,,,,29.961,8.386
A-11-L21,David Eichenberg,Cyclobalanopsis glauca,2011.0,A,,L21,800.0,t112210010800,,,1.35,690.0,4095.1,6.97,511.111111111111,1.349,47.188,34.97,,,,0.352,24.157,0.278,8.053,3.622,2.588,6.134,1.208,2.568,0.044,0.0,0.018,0.003,0.087,0.007,0.004,,,,,
A-6-L21-0810-CR,Christian Ristok,Liquidambar formosana,2011.0,A,,L21,810.0,t112210010810,,,,,,,,,,,,,,0.897,16.614,0.404,12.878,4.873,5.846,3.202,1.058,2.681,0.037,0.004,0.017,0.008,0.056,0.01,0.01,,,,75.016,32.591
A-20-L21-0816-CR,Christian Ristok,Nyssa sinensis,2011.0,A,,L21,816.0,t112210010816,,,,,,,,,,,,,,0.542,12.05,0.302,12.696,3.639,6.67,4.931,1.324,3.816,0.299,0.511,0.015,0.0,0.051,0.007,0.038,,,,60.813,39.603
A-6f-L21,David Eichenberg,Rhaphiolepis indica,2011.0,A,,L21,904.0,,t112210010904,,1.74,800.0,1038.12,8.65,459.770114942529,1.402,46.223,32.962,,,,,,,,,,,,,,,,,,,,,,,16.471,8.877
A.L21.18.koebie V,Wenzel Kroeber,Koelreuteria bipinnata,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,16.523,11.161,,
A.L21.13.laseyr,Wenzel Kroeber,Castanopsis eyrei,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,21.046,15.499,,
A.L21.04.choaxi V,Wenzel Kroeber,Choerospondias axillaris,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,22.938,13.233,,
A.L21.06.liqtor V,Wenzel Kroeber,Liquidambar formosana,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,15.136,11.076,,
A.L21.12.litgla,Wenzel Kroeber,Lithocarpus glaber,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.692,14.797,,
A_L21_01_cashen,Wenzel Kroeber,Castanea henryi,2010.0,A,,L21,,,,,1.458,707.0,7203.16,10.188,484.910836762689,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_L21_03_schsup,Wenzel Kroeber,Schima superba,2010.0,A,,L21,,,,,1.619,637.0,7864.11,12.346,393.452748610253,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_L21_04_choaxi,Wenzel Kroeber,Choerospondias axillaris,2010.0,A,,L21,,,,,9.201,4843.0,34352.3,7.093,526.355830887947,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.L21.01.cashen V,Wenzel Kroeber,Castanea henryi,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,29.706,19.774,,
A.L21.14.cassel,Wenzel Kroeber,Castanopsis sclerophylla,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,20.774,14.03,,
A_L21_06_liqfor,Wenzel Kroeber,Liquidambar formosana,2010.0,A,,L21,,,,,1.571,715.0,8262.39,11.556,455.124124761299,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.L21.03.schsup V,Wenzel Kroeber,Schima superba,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.717,20.366,,
